TractFIPS,State,City,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
12031013100,FL,Jacksonville,13.8,23.3,19.7,31.4,77.8,7.7,7.3,6.4,76.2,81.4,68.1,6.6,39.7,34,15.2,68.6,8.8,36.1,2.6,22.3,79.3,11,26.1,84.2,11.1,33,2.9,11.6
12031013200,FL,Jacksonville,27,8.2,28.6,16,45.6,1.9,7.3,2.4,64.6,50,56.2,4.4,31,28.1,22.6,50.1,3.8,20.5,1.4,23.9,77.5,15.9,25.4,79.6,8.9,37,1.2,21.8
12031013300,FL,Jacksonville,23.3,23.7,17.8,34.1,75.3,5.8,8.9,6.7,74.6,74.8,60.3,8.8,31.9,27.7,23.6,51.9,11.7,36.2,3.1,31.5,78.2,15.6,33.6,82.6,15.2,40.2,3.7,20.2
12031013402,FL,Jacksonville,28.1,27.1,16,36.8,75.9,5.9,9.8,8.5,73.2,71.8,52.8,12,27.6,23.2,28.9,42.3,14,39.1,3.8,38.3,77.7,18.9,37.2,81.8,19.6,41.2,4.9,28.9
12031013403,FL,Jacksonville,21.3,22.6,18.6,33.1,74.8,5.8,8.5,6.6,75,74.1,61,8.1,32.4,27.6,21.7,54.1,10.8,35.3,3,29.4,79.3,14.7,32.6,83.5,14,39.1,3.5,19.1
12031013404,FL,Jacksonville,21.6,23.8,17.3,35.7,76.4,5.9,8.6,7.1,75.4,73.4,59.2,8.6,31.5,27.5,21.5,52.6,12.1,37.7,3.2,30.6,79.1,15.1,33.3,83.6,14.9,39.3,3.8,19.3
12031013502,FL,Jacksonville,22.6,20.1,18.9,32.3,73.3,4.5,8.8,5.1,74.9,75,58.6,7.2,30.6,28.5,23.1,53.4,10.8,33.3,2.6,30,80.2,15,34.4,82.9,13.7,41.9,3,17.5
12031013503,FL,Jacksonville,22.6,20.8,18.9,31.9,73.6,5.1,8.5,5.7,74.3,73.9,60.3,7.4,32.2,28.6,22,54.3,10.4,34.2,2.7,29.4,79.1,14.7,32.5,83.3,13.5,39.8,3.1,18.1
12031013504,FL,Jacksonville,22.8,23.6,17.1,37.1,77.5,5.7,8.6,6.7,76.4,75.4,60.5,8.2,31.1,27.9,22.3,52.7,12.7,37.7,3.1,31.9,79.8,14.5,34,82.3,14.6,40.8,3.7,19.1
12031013521,FL,Jacksonville,22.8,19.3,18.7,31,72.1,4.9,8.6,5.2,74.5,70.8,61.1,6.8,32,27.7,21,53.8,9.7,32.6,2.7,28.8,79.9,14.7,32,83.6,12.7,40.1,3,18.2
