TABLE 16A.—UPDATED PROXY HOSPITAL VALUE-BASED PURCHASING PROGRAM (VBP) ADJUSTMENT FACTORS FOR FY 2018*					
CMS Certification Number (CCN)	Proxy FY 2018 Hospital VBP Adjustment Factor				
040019	1.0047084253				
040020	0.9938633194				
040022	1.0003089955				
040026	0.9910497306				
040027	0.9952445357				
040029	1.0049130499				
040036	0.9935052263				
040039	0.9982627491				
040041	1.0030714282				
040051	1.0101181892				
040055	0.9936075386				
040062	1.0027133351				
040067	0.9901672868				
040069	1.0024447652				
040071	0.9934029139				
040072	1.0101181892				
040074	1.0012809626				
040076	1.0024447652				
040078	0.9927378839				
040084	1.0017822930				
040085	1.0170242708				
040088	0.9991017102				
040114	0.9920728538				
040118	1.0004624640				
040119	0.9964722835				
040134	1.0162185613				
040137	0.9911264648				
040147	1.0288308801				
040152	0.9989742848				
040153	0.9930448208				
050002	1.0000532147				
050006	1.0007694010				
050007	1.0117679754				
050008	0.9958072535				
050009	1.0026110227				
050013	1.0041457075				
050014	0.9998281276				
050017	1.0058338608				
050018	0.9971373136				
050022	0.9953980042				
050025	0.9984673738				
050026	0.9943237248				
050028	1.0037876144				
050030	1.0231860303				
050036	0.9902312320				
050038	0.9963699712				
050039	0.9977000314				
050040	1.0004624640				
050042	1.0092613236				
050043	1.0026621789				
050045	0.9955514727				
050047	1.0032760528				
050054	0.9964722835				
050055	1.0073173895				
050056	0.9937610071				
050057	0.9984673738				
050058	1.0022017735				
050060	0.9936586947				
050063	0.9985185299				
050067	0.9878129408				
050069	0.9971373136				
050070	1.0090566989				
050071	1.0072150772				
050072	1.0110347371				
050073	1.0187422652				
050075	1.0072150772				
050076	1.0160139367				
050077	1.0005136202				
050078	0.9994904970				
050082	0.9984673738				
050084	1.0028156474				
050089	0.9899447575				
050090	1.0104146624				
050091	0.9957049411				
050093	0.9919705415				
050099	0.9989277792				
050100	0.9966257520				
050101	0.9951933795				
050102	0.9942214125				
050103	1.0000532147				
050104	0.9962165027				
050107	1.0051176746				
050108	0.9987231546				
050110	1.0019971488				
050112	1.0086986058				
050113	0.9996439655				
050115	0.9939144755				
050116	0.9990300915				
050118	0.9931982893				
050121	0.9988766231				
050122	0.9928913523				
050124	0.9948352864				
050125	0.9999509024				
050126	1.0010251818				
050127	1.0027747225				
050129	0.9928913523				
050131	1.0110773672				
050132	1.0063454224				
050133	1.0005136202				
050136	1.0063454224				
050137	1.0074879100				
050138	0.9980069683				
050139	1.0016220037				
050140	1.0083064086				
050145	1.0036341459				
050149	0.9909815224				
050150	1.0005647763				
050152	0.9985696861				
050153	0.9905893251				
050158	1.0001427380				
050159	0.9954491603				
050167	0.9925503113				
050168	0.9951422234				
050169	1.0026621789				
050174	0.9932494455				
050179	1.0061407978				
050180	1.0005647763				
050189	1.0109727296				
050191	0.9970350013				
050192	1.0006484864				
050194	1.0035829898				
050195	1.0022529296				
050197	1.0015878995				
050204	0.9997462778				
050211	0.9959607219				
050222	1.0005647763				
050224	1.0030202720				
050225	1.0128934109				
050226	0.9984673738				
050228	0.9967280643				
050230	1.0055269239				
050231	0.9990812477				
050232	0.9995416531				
050234	1.0257615105				
050235	0.9889523280				
