Tract,Heart.Diseases
12009065234,231.36
12009065235,311.38
12009065236,120.64
12009066101,123.85
12009066103,179.95
12009066104,139.01
12009066200,142
12009066301,111.54
12009066302,117.9
12009066400,181.86
12009066500,95.39
12009066600,170.14
12009066700,117.93
12009066800,40.56
12009066900,116.01
12009067100,6.93
12009068101,180.93
12009068102,161.24
12009068200,140.52
12009068300,230.45
12009068400,210.38
12009068501,103.45
12009068502,167.64
12009068601,132.86
12009068602,113.11
12009069100,123.81
12009069200,161.6
12009069300,104.66
12009069400,144.84
12009069700,134.67
12009069801,166.71
12009069802,138.39
12009069901,128.25
12009069902,207.16
12009071100,152.99
12009071200,93.01
12009071301,70.82
12009071322,68.8
12009071332,66.02
12009071334,111.12
12009071335,139.53
12009071336,158.68
12009071337,92.19
12009071338,84.99
12009071339,93
12009071340,97.02
12009071400,222.29
12009071500,175.97
12009071600,169.25
12011010102,97.74
12011010103,196.85
12011010104,139.34
12011010200,86.69
12011010304,92.14
12011010305,77.4
12011010306,122.61
12011010307,104.98
12011010308,273.83
12011010401,97.71
12011010402,288.16
12011010403,425.76
12011010405,56.93
12011010406,62.28
12011010407,284.07
12011010502,32.36
12011010503,29.75
12011010504,34.85
12011010601,102.77
12011010603,51.32
12011010604,16.87
12011010605,31.49
12011010606,26.14
12011010607,63.61
12011010609,21.32
12011010610,78.74
12011010611,41.57
12011010612,19.68
12011010701,63.43
12011010702,62.27
12011010800,56.33
12011010901,77.49
12011010902,135.98
12011011000,204.78
12011020101,63.34
12011020103,108.97
12011020104,76.18
12011020204,111.93
12011020205,111.34
12011020206,37.09
12011020207,139.03
12011020209,136.52
12011020210,93.53
12011020211,189.47
12011020212,234.67
12011020302,32.45
12011020308,28.11
12011020309,30.25
12011020311,61.44
12011020312,22.26
12011020313,67.62
12011020314,134.62
12011020315,72.6
12011020316,38.23
12011020317,23.7
12011020318,34.1
12011020319,24.66
12011020320,37.22
12011020321,31.88
12011020322,39.67
12011020323,50.11
12011020324,105.23
12011020325,72.44
12011020326,30.02
12011020404,38.28
12011020405,35.86
12011020406,143.11
12011020407,34.16
12011020409,369.33
12011020411,118.71
12011020412,33.99
12011020413,30.46
12011020414,218.14
12011020415,206.52
12011020501,39.9
12011020502,44.98
12011030100,78.31
12011030201,78.14
12011030202,93.28
12011030203,47.87
12011030301,40.32
12011030302,72.08
12011030401,104.88
12011030402,63.36
12011030500,33.06
12011030600,64.69
12011030702,49.81
12011030703,136.67
12011030704,270.85
12011030705,391.93
12011030801,145.29
12011030802,212.99
12011030902,109.16
12011030903,64.22
12011030904,96.52
12011031001,133.33
12011031002,89.82
12011031101,125.16
12011031102,135.34
12011031202,207.36
12011031203,325.87
12011031204,155.5
12011031205,170.6
12011040101,100.33
12011040102,214.19
12011040203,187.85
12011040204,201.29
12011040205,96.84
12011040206,205.06
12011040300,199.14
12011040401,117.14
12011040402,128.52
12011040502,170.11
12011040503,244.37
12011040504,291.97
12011040601,161.99
12011040602,119.45
12011040701,96.5
12011040702,80.83
12011040801,64.73
12011040802,58.21
12011040901,92.34
12011040902,113.96
12011041000,136.09
12011041100,119.5
12011041200,106.45
12011041300,94.59
12011041400,95.58
12011041500,60.73
12011041600,84.68
12011041700,63.28
12011041801,53.59
12011041802,138.6
12011041900,94.43
12011042000,108.73
12011042100,118.83
12011042200,149.81
12011042301,159.77
12011042302,313.23
12011042400,72.31
12011042500,38.67
12011042600,69.47
12011042700,95.95
12011042800,74.83
12011042900,60.41
12011043001,61.56
12011043002,57.19
12011043100,97.17
12011043301,76.17
12011043302,70.18
12011050100,72.34
12011050204,75.85
12011050205,224.8
12011050206,278.73
12011050207,64.32
12011050208,230.15
12011050301,60.22
12011050306,60.15
12011050307,99.64
12011050308,97.64
12011050309,41.19
12011050310,182.48
12011050311,147.63
12011050312,187.44
12011050401,42.5
12011050402,84.59
12011050501,74.07
12011050502,60.39
12011050601,118.54
12011050602,137.33
12011050701,106.47
12011050702,65.42
12011050800,149.17
12011050900,101.47
12011051001,106.57
12011051002,238.18
12011060105,101.68
12011060107,176.96
12011060109,225.91
12011060111,157.94
12011060112,136.06
12011060113,135.31
12011060114,68.97
12011060115,41.25
12011060116,113.41
12011060117,106.27
12011060118,67.23
12011060119,64.87
12011060120,38.25
12011060121,61.62
12011060122,43.86
12011060123,182.53
12011060124,220.07
12011060125,53.08
12011060126,271.81
12011060127,39.43
12011060128,104.91
12011060203,54.01
12011060206,134.33
12011060207,208.33
12011060208,49.07
12011060209,77.18
12011060210,52.94
12011060211,395
12011060212,96.5
12011060213,322.87
12011060302,52.92
12011060303,85.97
12011060304,35.01
12011060305,52.86
12011060306,171.12
12011060401,100.42
12011060402,66.84
12011060403,79.41
12011060501,68.77
12011060503,50.34
