Tract,County,Acute.Bronchitis...Bronchiolitis,Alzheimers.Disease,Anemias,Aortic.Aneurysm...Dissection,Appendix.Diseases,Atherosclerosis,Cerebrovascular.Diseases,Cholelithiasis...Other.Gallbladder.Disorders,Chronic.Liver.Disease...Cirrhosis,Chronic.Lower.Respiratory.Disease,Congenital.Malformations,Diabetes.Mellitus,Essen.Hypertension...Hypertensive.Renal.Dis,Female.Pelvic.Organs.Inflammatory.Diseases,Heart.Diseases,Hernia,Homicide,Hyperplasia.of.Prostate,In.Situ..Benign..Uncertain.and.Unknown.Behavior.Neoplasms,Influenza...Pneumonia,Kidney.Infections,Legal.Intervention,Malaria,Malignant.Neoplasm.or.Cancer,Medical...Surgical.Care.Complications,Meningitis,Meningococcal.Infection,Nephritis..Nephrotic.Syndrome..Nephrosis,Nutritional.Deficiencies,Other.Non.rankable.Cause.of.Death,Parkinsons.Disease,Peptic.Ulcer,Perinatal.Period.Conditions,Pneumoconiosis...Chemical.Effects,Pneumonitis.Due.To.Solids...Liquids,Pregnancy..Childbirth.and.the.Puerperium,Salmonella.Infections,Septicemia,Syphilis,Tuberculosis,Unintentional.Injury,Viral.Hepatitis
12001001803,Alachua,0,3.29,0,1.65,0,0,23.04,1.65,9.87,24.69,0,16.46,16.46,0,97.1,0,1.65,0,1.65,1.65,0,0,0,121.79,1.65,0,0,3.29,1.65,100.39,4.94,1.65,0,1.65,3.29,1.65,0,3.29,0,0,29.62,1.65
12001001805,Alachua,0,13.4,0,0,0,0,6.7,0,6.7,26.79,6.7,20.09,0,0,20.09,0,0,0,6.7,0,0,0,0,100.47,0,0,0,13.4,0,107.17,13.4,6.7,0,0,0,0,0,13.4,0,0,13.4,0
12001001806,Alachua,0,12.84,1.07,3.21,0,0,26.74,1.07,5.35,25.67,2.14,14.98,6.42,0,70.6,1.07,1.07,0,0,4.28,0,0,0,90.93,0,0,0,7.49,0,84.51,5.35,0,1.07,0,4.28,0,0,2.14,0,0,26.74,3.21
12001001811,Alachua,0,8.61,0,1.44,0,0,15.79,0,1.44,14.36,2.87,7.18,4.31,0,50.24,0,1.44,0,5.74,0,0,0,0,61.73,0,0,0,0,0,73.21,8.61,0,0,0,1.44,1.44,0,4.31,0,0,17.23,0
12001001813,Alachua,0,15.11,0,0,0,0,24.18,0,0,18.13,3.02,9.07,0,0,66.49,0,0,0,0,6.04,0,0,0,75.55,0,0,0,9.07,0,48.35,6.04,0,0,0,0,0,0,3.02,0,0,21.15,3.02
12001001814,Alachua,0,6.96,0,0,0,0,6.96,0,6.96,17.4,3.48,6.96,0,0,62.65,0,0,0,0,3.48,0,0,0,80.06,0,0,0,0,0,55.69,3.48,0,0,0,3.48,0,0,0,0,0,6.96,0
12001001902,Alachua,0,3.22,3.22,9.67,0,0,32.23,0,12.89,35.45,16.11,25.78,12.89,0,64.45,0,3.22,0,0,12.89,0,0,0,77.34,3.22,0,0,12.89,0,96.68,3.22,3.22,3.22,0,16.11,0,0,12.89,0,0,25.78,0
12001001907,Alachua,0,7.03,0,7.03,0,3.52,24.61,0,0,28.13,0,10.55,10.55,0,94.94,0,0,0,0,3.52,0,0,0,123.07,0,0,0,3.52,0,119.55,3.52,0,0,0,0,0,0,10.55,0,0,42.19,0
12001001908,Alachua,0,14.31,0,2.39,0,0,28.63,0,4.77,42.94,2.39,31.01,4.77,0,114.5,0,2.39,0,0,9.54,0,0,0,159.83,2.39,0,0,16.7,0,119.27,7.16,0,4.77,0,2.39,0,0,7.16,0,0,28.63,2.39
12001002000,Alachua,0,9.99,1.67,3.33,0,0,18.32,0,5,34.97,1.67,18.32,11.66,0,104.91,0,6.66,0,5,6.66,0,0,0,159.87,1.67,0,0,8.33,0,93.26,3.33,0,0,0,1.67,0,0,6.66,0,1.67,36.64,0
12001002101,Alachua,0,4.62,4.62,4.62,0,0,27.74,0,0,32.36,0,4.62,0,0,120.2,0,0,0,0,4.62,0,0,0,101.71,0,0,0,0,0,78.59,4.62,0,0,0,0,0,0,9.25,0,0,32.36,4.62
12001002102,Alachua,0,11.42,0,0,0,0,45.66,0,0,45.66,0,34.25,0,0,125.57,0,0,0,0,0,0,0,0,262.56,0,0,0,0,0,159.82,0,0,0,0,0,0,0,11.42,0,0,68.49,0
12001002201,Alachua,0,8.05,2.01,4.02,0,0,14.08,0,6.03,26.15,0,4.02,14.08,0,56.32,0,0,0,0,4.02,0,0,0,106.6,0,0,0,12.07,0,74.42,12.07,0,0,0,0,0,0,0,0,0,16.09,2.01
12001002202,Alachua,0,8.61,0,0,0,1.72,22.39,0,8.61,17.22,0,17.22,6.89,0,65.45,0,0,0,5.17,3.44,0,0,0,101.62,1.72,0,0,6.89,0,68.89,6.89,1.72,1.72,0,1.72,0,0,1.72,0,0,22.39,0
12001002204,Alachua,0,13.31,0,0,0,0,15.97,0.89,3.55,9.76,0.89,11.54,0.89,0,65.66,0,0,0,0,0.89,0,0,0,73.65,0,0,0,3.55,0,83.41,5.32,0.89,1.77,0,1.77,0,0,2.66,0,0,16.86,0
12001002205,Alachua,0,11.23,0.94,0.94,0,0,16.85,0.94,5.62,11.23,0,7.49,0.94,0,43.06,0,1.87,0,2.81,1.87,0,0,0,73.94,0,0,0,3.74,0,49.61,3.74,0.94,0.94,0,1.87,0,0,0,0,0,12.17,0
12001002207,Alachua,0,23.61,0,0,0,0,35.41,0,5.9,17.7,2.95,8.85,0,0,56.06,0,0,0,0,0,0,0,0,106.23,0,0,2.95,0,0,85.57,14.75,0,0,0,0,0,0,0,0,0,26.56,2.95
12001002208,Alachua,0,12.16,0,0,0,0,16.21,4.05,8.11,36.48,0,4.05,4.05,0,60.8,0,4.05,0,0,4.05,0,0,0,68.91,4.05,0,0,0,4.05,60.8,8.11,0,0,0,4.05,0,0,4.05,0,0,4.05,0
12001002209,Alachua,0,7.04,1.17,1.17,1.17,0,17.59,0,7.04,21.11,1.17,10.55,4.69,0,53.94,0,0,0,3.52,3.52,0,0,0,82.08,0,0,0,1.17,1.17,62.15,5.86,0,4.69,0,2.35,0,0,0,0,0,12.9,2.35
12001002210,Alachua,0,4.02,0,0,0,0,26.12,0,0,28.13,2.01,16.07,6.03,0,94.43,0,2.01,0,2.01,4.02,0,0,0,98.45,0,0,0,6.03,0,98.45,0,2.01,2.01,0,2.01,0,0,6.03,0,0,16.07,4.02
12001002217,Alachua,0,1.7,3.41,0,0,0,5.11,0,1.7,17.04,1.7,20.44,5.11,0,49.4,0,5.11,0,0,3.41,0,0,0,46,0,0,0,0,0,44.29,1.7,1.7,10.22,0,0,0,0,0,0,0,22.15,0
12001002218,Alachua,0,0,0,0,0,0,4.26,0,4.26,12.77,0,8.51,4.26,0,38.3,0,17.02,0,0,4.26,0,0,0,46.81,0,0,0,4.26,0,59.57,0,0,8.51,0,0,0,0,0,0,0,17.02,0
12001002219,Alachua,0,5.76,0,0,0,0,15.83,1.44,8.64,12.96,0,8.64,4.32,0,38.87,0,1.44,0,1.44,2.88,0,0,0,69.09,0,0,0,10.08,0,82.05,4.32,0,8.64,0,2.88,0,0,1.44,0,0,15.83,0
12001002220,Alachua,0,9.29,0,0,0,0,9.29,0,4.65,37.17,4.65,23.23,0,0,88.29,0,4.65,0,4.65,9.29,0,0,0,167.29,4.65,0,0,9.29,0,111.52,0,0,0,0,9.29,4.65,0,9.29,0,0,32.53,0
12001110800,Alachua,0,49.55,0,4.96,0,0,69.38,0,0,44.6,0,24.78,9.91,0,193.26,0,4.96,4.96,4.96,14.87,4.96,0,0,183.35,4.96,0,0,9.91,0,193.26,19.82,0,0,0,9.91,0,0,0,0,0,59.46,0
12003040101,Baker,0,11.49,1.44,0,0,1.44,7.18,0,10.06,31.6,4.31,17.24,7.18,0,79.01,0,1.44,0,2.87,2.87,0,0,0,100.56,0,0,0,11.49,1.44,57.46,2.87,0,2.87,0,5.75,2.87,0,8.62,0,0,27.29,0
12003040102,Baker,0,7.97,1.33,0,0,0,22.57,0,5.31,51.79,0,6.64,6.64,0,128.8,0,2.66,0,1.33,6.64,1.33,0,0,111.54,0,0,0,5.31,2.66,90.29,6.64,0,3.98,0,7.97,0,0,11.95,0,0,19.92,3.98
12003040201,Baker,0,13.54,1.35,2.71,1.35,1.35,18.96,0,4.06,24.38,0,13.54,5.42,0,66.36,1.35,2.71,0,1.35,8.13,0,0,0,86.67,0,0,0,4.06,1.35,44.69,2.71,0,0,0,2.71,0,0,2.71,0,0,23.02,0
12003040202,Baker,0,12.37,0,3.53,0,0,19.43,0,3.53,22.96,3.53,10.6,3.53,0,84.79,0,1.77,0,1.77,19.43,1.77,0,0,74.19,3.53,0,0,1.77,3.53,63.59,3.53,1.77,0,0,1.77,0,0,1.77,0,0,26.5,0
12005000201,Bay,0,11.26,0,0,0,0,22.53,0,11.26,35.67,1.88,15.02,7.51,0,67.58,0,1.88,0,11.26,11.26,0,0,0,58.19,0,0,0,0,0,30.04,0,0,0,0,1.88,0,0,5.63,0,0,26.28,3.75
12005000202,Bay,0,15.48,0,5.16,0,0,12.04,0,5.16,46.44,3.44,22.36,3.44,0,82.56,0,3.44,0,18.92,6.88,1.72,0,0,94.6,0,0,0,1.72,3.44,65.36,1.72,0,1.72,0,3.44,0,0,8.6,0,0,39.56,3.44
12005000300,Bay,0,14.83,0,2.7,0,0,25.61,0,6.74,76.83,1.35,17.52,8.09,0,156.36,0,4.04,0,36.39,6.74,0,0,0,109.18,0,0,0,10.78,0,91.66,2.7,0,1.35,0,1.35,1.35,0,8.09,0,2.7,35.05,2.7
