State,Tract,Acute Bronchitis & Bronchiolitis,Alzheimers Disease,Anemias,Aortic Aneurysm & Dissection,Appendix Diseases,Atherosclerosis,Cerebrovascular Diseases,Cholelithiasis & Other Gallbladder Disorders,Chronic Liver Disease & Cirrhosis,Chronic Lower Respiratory Disease,Congenital Malformations,Diabetes Mellitus,Essen Hypertension & Hypertensive Renal Dis,Female Pelvic Organs-Inflammatory Diseases,Heart Diseases,Hernia,Homicide,Hyperplasia of Prostate,"In Situ, Benign, Uncertain and Unknown Behavior Neoplasms",Influenza & Pneumonia,Kidney Infections,Legal Intervention,Malaria,Malignant Neoplasm or Cancer,Medical & Surgical Care Complications,Meningitis,Meningococcal Infection,"Nephritis, Nephrotic Syndrome, Nephrosis",Nutritional Deficiencies,Other Non-rankable Cause of Death,Parkinsons Disease,Peptic Ulcer,Perinatal Period Conditions,Pneumoconiosis & Chemical Effects,Pneumonitis Due To Solids & Liquids,"Pregnancy, Childbirth and the Puerperium",Salmonella Infections,Septicemia,Syphilis,Tuberculosis,Unintentional Injury,Viral Hepatitis
FL,12001002210,0,2,0,0,0,0,13,0,0,14,1,8,3,0,47,0,1,0,1,2,0,0,0,49,0,0,0,3,0,49,0,1,1,0,1,0,0,3,0,0,8,2
FL,12001002217,0,1,2,0,0,0,3,0,1,10,1,12,3,0,29,0,3,0,0,2,0,0,0,27,0,0,0,0,0,26,1,1,6,0,0,0,0,0,0,0,13,0
FL,12001002218,0,0,0,0,0,0,1,0,1,3,0,2,1,0,9,0,4,0,0,1,0,0,0,11,0,0,0,1,0,14,0,0,2,0,0,0,0,0,0,0,4,0
FL,12001002219,0,4,0,0,0,0,11,1,6,9,0,6,3,0,27,0,1,0,1,2,0,0,0,48,0,0,0,7,0,57,3,0,6,0,2,0,0,1,0,0,11,0
FL,12001002220,0,2,0,0,0,0,2,0,1,8,1,5,0,0,19,0,1,0,1,2,0,0,0,36,1,0,0,2,0,24,0,0,0,0,2,1,0,2,0,0,7,0
FL,12001110800,0,10,0,1,0,0,14,0,0,9,0,5,2,0,39,0,1,1,1,3,1,0,0,37,1,0,0,2,0,39,4,0,0,0,2,0,0,0,0,0,12,0
FL,12003040101,0,8,1,0,0,1,5,0,7,22,3,12,5,0,55,0,1,0,2,2,0,0,0,70,0,0,0,8,1,40,2,0,2,0,4,2,0,6,0,0,19,0
FL,12003040102,0,6,1,0,0,0,17,0,4,39,0,5,5,0,97,0,2,0,1,5,1,0,0,84,0,0,0,4,2,68,5,0,3,0,6,0,0,9,0,0,15,3
FL,12003040201,0,10,1,2,1,1,14,0,3,18,0,10,4,0,49,1,2,0,1,6,0,0,0,64,0,0,0,3,1,33,2,0,0,0,2,0,0,2,0,0,17,0
FL,12003040202,0,7,0,2,0,0,11,0,2,13,2,6,2,0,48,0,1,0,1,11,1,0,0,42,2,0,0,1,2,36,2,1,0,0,1,0,0,1,0,0,15,0
FL,12005000201,0,6,0,0,0,0,12,0,6,19,1,8,4,0,36,0,1,0,6,6,0,0,0,31,0,0,0,0,0,16,0,0,0,0,1,0,0,3,0,0,14,2
FL,12005000202,0,9,0,3,0,0,7,0,3,27,2,13,2,0,48,0,2,0,11,4,1,0,0,55,0,0,0,1,2,38,1,0,1,0,2,0,0,5,0,0,23,2
FL,12005000300,0,11,0,2,0,0,19,0,5,57,1,13,6,0,116,0,3,0,27,5,0,0,0,81,0,0,0,8,0,68,2,0,1,0,1,1,0,6,0,2,26,2
FL,12005000400,0,13,0,0,0,0,23,0,6,31,1,17,8,0,89,0,5,0,24,7,0,0,0,81,0,0,0,5,0,50,4,2,0,0,1,0,0,7,0,0,15,3
FL,12005000500,0,19,2,1,0,0,7,0,5,18,0,15,12,0,48,0,3,0,13,6,0,0,0,49,0,0,0,11,0,29,3,0,1,0,5,1,0,3,0,0,15,2
FL,12005000600,0,2,0,0,0,1,7,0,2,7,0,4,2,0,17,0,0,0,4,2,0,0,0,10,0,0,0,0,1,10,1,0,0,0,0,0,0,1,0,0,6,1
FL,12005000700,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
