Tract,County
12035060212,350
12035060213,350
12035060214,350
12035060301,350
12035060302,350
12035060303,350
12035060304,350
12037970100,379
12037970200,379
12037970302,379
12037970304,379
12039020101,390
12039020102,390
12039020300,390
12039020400,390
12039020500,390
12039020600,390
12039020701,390
12039020702,390
12039020800,390
12041950100,419
12041950201,419
12041950202,419
12041950203,419
12041950204,419
12043000100,430
12043000200,430
12043000300,430
12045960100,459
12045960200,459
12045960300,459
12047960100,479
12047960200,479
12047960300,479
12049970101,499
12049970102,499
12049970201,499
12049970202,499
12049970300,499
12049970400,499
12051000100,510
12051000200,510
12051000300,510
12051000401,510
12051000402,510
12051000600,510
12053040101,530
12053040102,530
12053040201,530
12053040202,530
12053040301,530
12053040302,530
12053040303,530
12053040400,530
12053040501,530
12053040502,530
12053040601,530
12053040602,530
12053040701,530
12053040702,530
12053040801,530
12053040802,530
12053040901,530
12053040905,530
12053040906,530
12053040907,530
12053040908,530
12053040909,530
12053040910,530
12053040911,530
12053041003,530
12053041004,530
12053041005,530
12053041006,530
12053041103,530
12053041104,530
12053041105,530
12053041106,530
12053041201,530
12053041203,530
12053041204,530
12053041302,530
12053041303,530
12053041304,530
12053041305,530
12053041401,530
12053041402,530
12053041501,530
12053041502,530
12053041600,530
12055960101,559
12055960102,559
12055960103,559
12055960200,559
12055960300,559
12055960400,559
12055960501,559
12055960502,559
12055960601,559
12055960602,559
12055960700,559
12055960800,559
12055960900,559
12055961000,559
12055961100,559
12055961200,559
12055961301,559
12055961302,559
12055961400,559
12055961500,559
12055961601,559
12055961602,559
12055961603,559
12055961700,559
12057000101,570
12057000102,570
12057000201,570
12057000202,570
12057000300,570
12057000401,570
12057000402,570
12057000500,570
12057000601,570
12057000602,570
12057000700,570
12057000800,570
12057000901,570
12057000902,570
12057001001,570
12057001002,570
12057001100,570
12057001200,570
12057001300,570
12057001400,570
12057001500,570
12057001600,570
12057001700,570
12057001800,570
12057001900,570
12057002000,570
12057002100,570
12057002200,570
12057002300,570
12057002400,570
12057002500,570
12057002600,570
12057002700,570
12057002800,570
12057002900,570
12057003000,570
12057003100,570
12057003200,570
12057003300,570
12057003400,570
12057003500,570
12057003600,570
12057003700,570
12057003800,570
12057003900,570
12057004000,570
12057004100,570
12057004200,570
12057004300,570
12057004400,570
12057004500,570
12057004600,570
12057004700,570
12057004800,570
12057004900,570
12057005000,570
12057005101,570
12057005102,570
12057005301,570
12057005302,570
12057005401,570
12057005500,570
12057005700,570
12057005800,570
12057005900,570
12057006000,570
12057006101,570
12057006103,570
12057006200,570
12057006300,570
12057006400,570
12057006501,570
12057006502,570
12057006600,570
12057006700,570
12057006801,570
12057006802,570
12057006900,570
12057007001,570
12057007002,570
12057007102,570
12057007103,570
12057007200,570
12057007300,570
12057010103,570
12057010105,570
12057010106,570
12057010107,570
12057010108,570
12057010203,570
12057010204,570
12057010205,570
12057010209,570
12057010210,570
12057010211,570
12057010212,570
12057010213,570
12057010214,570
12057010303,570
12057010304,570
12057010305,570
12057010401,570
12057010402,570
12057010501,570
12057010502,570
12057010600,570
12057010701,570
12057010702,570
