Tract,Aortic.Aneurysm...Dissection,Cerebrovascular.Diseases,Diabetes.Mellitus,Essen.Hypertension...Hypertensive.Renal.Dis,Heart.Diseases,In.Situ..Benign..Uncertain.and.Unknown.Behavior.Neoplasms,Malignant.Neoplasm.or.Cancer,Nephritis..Nephrotic.Syndrome..Nephrosis,Atherosclerosis
12005000806,2.44,12.18,17.05,9.74,82.81,21.92,51.14,7.31,0
12005000900,4.4,26.38,17.59,26.38,171.47,21.98,120.91,13.19,0
12005001000,0,25.41,38.12,12.71,203.3,21.18,110.12,8.47,4.24
12005001100,0,30.53,32.71,10.9,109.03,34.89,117.75,13.08,0
12005001200,0,28.6,20.02,8.58,100.11,17.16,54.35,20.02,0
12005001301,0,14.48,25.35,23.54,86.91,12.67,54.32,1.81,0
12005001302,1.39,13.86,22.18,9.7,119.21,23.57,99.81,11.09,1.39
12005001402,1.27,19.09,17.82,10.18,98,19.09,73.82,7.64,0
12005001403,0,29.18,9.73,4.86,136.19,24.32,72.96,14.59,0
12005001404,1.36,18.98,13.56,9.49,85.4,23.04,79.98,2.71,1.36
12005001501,0,26.23,20.99,19.24,134.66,7,54.21,8.74,1.75
12005001502,1.66,26.56,38.17,24.9,175.93,33.2,117.84,8.3,0
12005001600,2.74,46.56,46.56,27.39,183.51,41.08,115.04,27.39,2.74
12005001700,0,37.02,47.12,13.46,164.93,47.12,94.24,13.46,0
12005001800,0,10.88,32.63,5.44,87,27.19,87,5.44,0
12005001900,0,33.3,16.65,16.65,139.44,18.73,104.06,6.24,2.08
12005002000,6.95,76.5,48.68,34.77,292.07,48.68,229.49,0,0
12005002200,2.07,31.07,20.71,8.29,194.7,8.29,93.21,16.57,2.07
12005002300,2.61,26.12,20.9,10.45,143.68,23.51,86.21,13.06,2.61
12005002400,2.37,14.25,28.49,14.25,104.46,28.49,75.97,4.75,0
12005002500,3.12,34.29,12.47,15.59,143.39,40.52,140.27,3.12,0
12005002601,4.1,12.3,8.2,0,131.15,28.69,65.57,4.1,0
12005002603,7.27,0,14.54,0,87.24,14.54,101.78,7.27,0
12005002604,1.23,17.19,22.1,2.46,76.11,15.96,72.43,6.14,0
12005002605,0,17.99,53.96,0,125.9,17.99,125.9,8.99,0
12005002606,0,33.51,13.4,20.11,174.26,13.4,93.83,6.7,0
12005002607,0,0,53.81,8.97,107.62,44.84,179.37,0,0
12005002608,0,29.02,14.51,18.14,123.32,10.88,134.2,7.25,0
12005002701,2.22,17.75,13.31,8.87,102.04,22.18,90.95,4.44,0
12005002702,12.16,12.16,20.27,0,129.71,16.21,190.51,8.11,0
12005002703,3.24,19.42,29.13,0,113.27,22.65,103.56,9.71,0
12005002704,0,12.8,12.8,5.49,80.47,21.95,104.24,3.66,0
12005002705,0,22.39,17.91,8.96,120.91,17.91,134.35,0,0
12007000100,5.37,30.44,26.86,8.95,164.73,0,123.55,14.32,1.79
12007000200,0,14.08,7.04,7.04,97.42,2.35,99.77,4.69,1.17
12007000300,2.8,28.03,14.01,12.61,109.3,2.8,170.96,14.01,1.4
12007000400,0,23.49,18.07,7.23,75.89,1.81,86.74,5.42,0
12009060101,2.68,34.82,10.71,8.03,200.86,5.36,192.82,13.39,2.68
12009060102,3.2,57.66,12.81,3.2,179.37,3.2,211.4,6.41,3.2
12009060200,1.7,35.79,13.64,11.93,139.76,3.41,139.76,8.52,0
12009060300,1.99,37.73,19.86,5.96,123.11,5.96,156.87,3.97,3.97
12009060400,9.72,97.21,17.01,29.16,221.14,4.86,196.84,17.01,7.29
12009060500,6.67,51.15,17.79,8.89,184.57,2.22,173.45,11.12,2.22
12009060600,3.69,44.32,12.93,7.39,173.59,1.85,142.2,5.54,3.69
12009060700,0,62.62,46.97,7.83,207.44,0,129.16,11.74,0
12009061001,0,47.44,18.98,4.74,177.89,0,139.94,4.74,4.74
12009061002,3,60.08,12.02,6.01,210.27,6.01,147.19,6.01,0
12009061100,4.9,49.04,14.71,4.9,209.25,8.17,158.57,9.81,3.27
12009061201,1.36,25.76,13.56,10.85,131.51,5.42,128.8,6.78,1.36
12009061202,2.93,43.94,14.65,20.5,152.31,0,140.6,14.65,0
12009062103,3.88,34.9,9.05,6.46,139.61,3.88,152.53,6.46,1.29
12009062104,0,19.41,11.65,5.18,68.58,2.59,100.93,5.18,1.29
12009062106,9.33,43.53,12.44,6.22,167.91,6.22,180.35,9.33,9.33
12009062107,0,42.37,29.34,9.78,241.2,0,185.79,6.52,9.78
12009062108,0,24.87,8.29,3.32,92.85,1.66,160.84,3.32,3.32
12009062109,2.27,40.83,4.54,6.81,90.74,2.27,102.09,2.27,2.27
12009062301,2.65,23.89,15.93,5.31,111.49,2.65,127.42,2.65,0
12009062302,6,44.96,32.97,11.99,149.88,8.99,119.9,17.99,6
12009062400,5.66,15.57,8.49,16.98,125.94,1.42,94.81,9.91,1.42
12009062500,0,34.55,19.43,10.8,146.84,2.16,164.11,21.59,6.48
12009062600,6.16,9.24,18.48,6.16,150.91,0,107.79,18.48,0
12009062800,2.54,40.63,15.24,2.54,121.89,5.08,126.97,5.08,5.08
12009062900,0,50.4,18.15,6.05,96.77,2.02,153.23,2.02,0
12009063000,4.54,27.24,4.54,6.81,83.98,4.54,115.75,9.08,0
12009063102,0,30.72,9.45,0,113.43,4.73,124.07,7.09,3.54
12009063104,0,19.09,19.09,5.45,95.45,2.73,114.54,10.91,2.73
12009063105,1.07,19.19,19.19,2.13,106.63,2.13,121.56,7.46,0
12009063106,0,22.04,9.79,0,95.49,0,127.33,4.9,0
12009063107,2.7,45.97,10.82,9.01,155.05,2.7,193.82,12.62,0.9
12009064102,2.16,12.96,12.96,4.32,77.77,2.16,136.1,17.28,2.16
12009064123,0,36.73,10.02,8.35,131.89,5.01,125.21,8.35,0
12009064124,4.38,28.48,26.29,6.57,142.42,2.19,138.04,10.96,0
