GEOID,Diabetes.Mellitus,College.Educated
12011060109,21.18,28.00
12011060111,12.02,37.30
12011060112,20.05,27.80
12011060113,6.44,24.50
12011060114,6.13,30.30
12011060115,5.50,29.60
12011060116,7.82,27.90
12011060117,7.59,30.60
12011060118,4.20,28.10
12011060119,6.65,31.40
12011060120,6.17,48.50
12011060121,5.44,45.10
12011060122,1.99,39.50
12011060123,13.04,24.90
12011060124,15.85,18.40
12011060125,4.08,22.00
12011060126,13.31,32.30
12011060127,3.29,20.00
12011060128,13.99,22.90
12011060203,9.26,8.40
12011060206,12.40,20.70
12011060207,20.25,25.50
12011060208,7.91,16.80
12011060209,6.71,22.30
12011060210,8.82,24.70
12011060211,25.00,17.50
12011060212,6.03,19.30
12011060213,26.54,30.80
12011060302,6.96,14.00
12011060303,17.19,10.40
12011060304,10.77,5.10
12011060305,4.41,26.20
12011060306,21.39,43.80
12011060401,12.55,13.00
12011060402,7.43,10.70
12011060403,14.77,12.20
12011060501,4.05,24.40
12011060503,2.10,47.70
12011060504,4.24,57.60
12011060505,12.32,30.40
12011060603,6.08,43.00
12011060605,7.93,43.10
12011060606,8.99,42.00
12011060607,12.80,46.20
12011060608,10.42,44.90
12011060609,0.00,51.90
12011060700,3.14,37.50
12011060801,0.00,28.80
12011060802,11.68,23.10
12011060900,11.64,40.50
12011061001,3.05,56.20
12011061002,3.07,55.50
12011061100,6.10,11.00
12011070101,10.83,25.40
12011070102,7.93,27.00
12011070204,1.70,40.90
12011070205,9.32,45.50
12011070207,10.61,34.90
12011070208,4.98,46.20
12011070209,0.00,54.40
12011070210,16.76,26.50
12011070211,1.62,50.80
12011070304,1.28,39.30
12011070305,6.15,26.70
12011070306,7.70,52.80
12011070310,3.16,35.00
12011070311,1.51,51.70
12011070312,1.36,61.80
12011070313,1.80,63.30
12011070314,7.98,40.20
12011070315,3.35,46.90
12011070316,9.45,47.30
12011070317,1.95,66.10
12011070318,1.51,77.10
12011070319,0.00,67.80
12011070320,2.56,57.70
12011070321,7.01,47.00
12011070322,5.30,38.70
12011070401,4.16,33.80
12011070402,9.67,47.30
12011070403,7.24,21.70
12011070404,0.00,34.20
12011070405,8.85,57.10
12011070501,5.10,53.20
12011070502,1.65,32.20
12011070601,7.37,29.30
12011070602,6.19,32.40
12011080101,13.41,23.50
12011080102,8.04,21.60
