HUC_12,Thermo_Plants,FWWGYR,FWCGYR,TWW_MGAL,TWC_MGAL
051401021205,4.0,1.58459507e+11,5234849860.0,434.135635,14.342054
111101020307,3.0,1.58348773e+11,5231191680.0,433.832256,14.332032
030501060403,1.0,1.5783768e+11,4662976030.0,432.432,12.775277
101800110501,3.0,1.57795106e+11,5212900800.0,432.31536,14.28192
060102080408,9.0,1.56872328e+11,5182416000.0,429.7872,14.1984
020802060106,10.0,1.56076922e+11,5287609580.0,427.608005,14.486602
120903010706,3.0,1.5594955e+11,5151931200.0,427.25904,14.11488
031002060302,13.0,1.55860233e+11,5767391280.0,427.014336,15.801072
030801011003,8.0,1.5513582e+11,5419678850.0,425.029644,14.848435
020700020202,4.0,1.55070279e+11,5087240350.0,424.850078,13.937645
020700110106,12.0,1.5378303e+11,3456462110.0,421.32337,9.469759
051201081602,15.0,1.53596316e+11,5271027780.0,420.811824,14.441172
020402010404,15.0,1.52861933e+11,5633635720.0,418.799815,15.434618
030802020302,11.0,1.52653344e+11,5648724820.0,418.228339,15.475958
110200021201,4.0,1.51371838e+11,5455065740.0,414.717365,14.945386
102400110304,2.0,1.51335658e+11,4999507200.0,414.61824,13.69728
160300050805,2.0,1.51335658e+11,4999507200.0,414.61824,13.69728
140801062008,2.0,1.50985002e+11,4987922980.0,413.657539,13.665542
050301061208,2.0,1.50652802e+11,4976948450.0,412.747402,13.635475
020503051011,1.0,1.5035664e+11,4441964740.0,411.936,12.169766
120401040706,26.0,1.48603967e+11,5498883260.0,407.134157,15.065434
030300040102,25.0,1.45874453e+11,4322507240.0,399.656035,11.842486
040500020303,4.0,1.45703864e+11,4777619900.0,399.188669,13.08937
102901020208,2.0,1.45614432e+11,4810501440.0,398.943648,13.179456
140600090208,3.0,1.45540609e+11,4808062660.0,398.741395,13.172774
040801030101,6.0,1.45474997e+11,5183923600.0,398.561635,14.20253
111402070702,3.0,1.45200259e+11,3560926860.0,397.808928,9.755964
040900010307,10.0,1.4509273e+11,4747219200.0,397.514328,13.00608
060400050402,24.0,1.43025011e+11,5109375120.0,391.849344,13.998288
031300021306,11.0,1.42591051e+11,5276383640.0,390.660413,14.455846
020700110305,8.0,1.42213414e+11,4127852160.0,389.625792,11.309184
041000100603,1.0,1.4183316e+11,4190156780.0,388.584,11.479882
030501050506,2.0,1.41231234e+11,4665698640.0,386.934888,12.782736
020503061702,7.0,1.40507752e+11,4797868640.0,384.952745,13.144846
120100051100,15.0,1.39598705e+11,5247002600.0,382.462205,14.37535
030901010504,21.0,1.39191433e+11,4137032640.0,381.346392,11.334336
051002050507,11.0,1.36527184e+11,4812507480.0,374.04708,13.184952
030801030801,2.0,1.35814525e+11,4486752860.0,372.094589,12.292474
171001030304,2.0,1.34707191e+11,4450171100.0,369.060797,12.19225
080102110302,23.0,1.33533803e+11,4578760900.0,365.846035,12.54455
010802050702,13.0,1.32138983e+11,3346789540.0,362.024611,9.169286
020301040205,66.0,1.32001196e+11,4159194560.0,361.647113,11.395054
110901050401,6.0,1.319124e+11,4485811160.0,361.403837,12.289894
140500011108,3.0,1.31735844e+11,4352010050.0,360.920122,11.923315
080402070201,19.0,1.31570767e+11,4868593380.0,360.467856,13.338612
050902011107,1.0,1.31551289e+11,4345913090.0,360.41449,11.906611
103001010301,15.0,1.31451002e+11,3534558380.0,360.139733,9.683722
120200030407,7.0,1.31360146e+11,4860799610.0,359.89081,13.317259
020402050602,13.0,1.29597246e+11,4771536960.0,355.060949,13.072704
150501001102,17.0,1.29080271e+11,4785863060.0,353.644577,13.111954
030202011705,9.0,1.29070481e+11,4776073760.0,353.617757,13.085134
080802050405,5.0,1.28490492e+11,4010589050.0,352.028746,10.987915
102400010310,2.0,1.28229286e+11,4236167810.0,351.313114,11.605939
031502010902,8.0,1.26814788e+11,4692604980.0,347.437776,12.856452
050302011009,2.0,1.26236085e+11,4170320640.0,345.852288,11.425536
040802010605,16.0,1.26067346e+11,4653068470.0,345.38999,12.748133
120301060502,8.0,1.2574809e+11,4653133300.0,344.515315,12.74831
101900180606,2.0,1.25737785e+11,4153858850.0,344.487082,11.380435
040500020102,1.0,1.2444894e+11,3676577260.0,340.956,10.072814
