HUC_12,BW_Demand
010100040905,407.088148177
010100040906,264.377615452
010100040907,161.766153753
010100040908,378.803998113
010100040909,624.906196833
010100041001,832.851117849
010100041002,284.068274498
010100041003,188.00553894
010100041004,311.209742188
010100041005,395.969138861
010100041006,267.556390524
010100041007,658.015250564
010100041008,830.661696196
010100041009,1674.33897114
010100041101,888.694353104
010100041102,336.087347269
010100041103,450.963444948
010100041104,687.087083936
010100041105,347.842600822
010100041106,442.349089861
010100041107,340.450542688
010100041108,608.680255175
010100041109,691.307088256
010100041110,455.94998467
010100041111,72.8056863546
010100041112,704.094718695
010100041113,1035.76275945
010100050101,181.092598438
010100050102,471.918746054
010100050201,653.859465778
010100050202,185.556958199
010100050203,725.560406208
010100050301,188.73958385
010100050302,373.453643799
010100050303,364.733026564
010100050304,201.078688204
010100050305,512.76414597
010100050306,179.533511281
010100050307,507.916840971
010100050308,106.832149744
010100060101,41.5559576601
010100060102,42.197613582
010100060103,35.6566566266
010100060104,130.579399534
010100060105,25.5167478174
010100060106,21.2526964769
010100060107,27.8317849562
010100060108,30.0837671533
010100060109,47.6501497403
010100060201,10.3320522159
010100060202,7.84529646859
010100060203,2.53419131227
010100060204,30.1722548641
010100060205,12.9967034161
010100060206,20.4124768227
010100060207,45.1244221106
010100060208,38.2847448625
010100060305,3.37787874043
010100060306,1.16213383526
010100060307,0.233813397586
010100060312,5.73900742456
010100060313,29.6638250016
010100070101,36.5668758899
010100070102,16.3369280323
010100070103,48.0757966042
010100070204,0.898135669529
010100070205,7.09714005142
010100070206,18.0755781829
010100070207,10.6496417597
010100070208,38.3127796203
010100070209,42.6570366025
010100070301,6.4074382484
010100070302,6.53068885952
010100070303,22.8027259409
010100070304,54.3389578238
010100070305,75.3409105092
010100070306,77.9072173089
010100070401,21.9988097772
010100070402,33.1641137004
010100070403,91.8536943272
010100070404,82.7762943506
010100070405,109.70652996
010100070502,0.824848070741
010100070503,91.5768290162
010100070504,27.2805480212
010100070505,76.4154769033
010100070506,69.3908247203
010100070507,200.34409374
010100070601,8.86446295679
010100070602,17.770415768
010100070603,51.8560749739
010100070604,38.9316505194
010100070605,84.6819285452
010100070606,72.0973091125
010100070607,264.984726459
010100070701,70.4165721238
010100070702,78.5661167502
010100070703,155.765004188
010100080101,277.816346705
010100080102,442.395606726
010100080401,12.8299511969
010100080403,170.97699821
010100080404,72.911211133
010100080405,87.734457463
010100080406,122.384848207
010100080407,210.469761789
010100080408,67.4075785577
010100080503,284.845174432
010100080504,125.910353541
010100081107,266.866542101
010100081108,299.804272294
010100090601,521.418379009
010100090603,810.390110612
010100090604,137.190293789
010100090605,377.428022981
010100090607,325.959970951
010100090608,70.1390434504
010100100101,202.517871857
010100100102,106.455806732
010100100201,573.733460307
010100100202,501.889440656
010100100203,247.800089002
010100100204,312.809206724
010100100205,450.928403974
010100100206,207.767759085
010100100207,17.6609598398
010100110103,166.173584521
010200010101,17.3208167851
010200010102,18.6824227124
010200010103,39.3115963712
010200010104,58.9192310199
010200010105,31.833842665
010200010106,193.094128564
010200010201,106.011573836
010200010202,28.2869976312
010200010203,30.2513637543
010200010204,112.292270631
010200010205,61.7833507359
010200010206,65.1041063666
010200010207,97.3599665016
010200010208,33.784597531
010200010209,58.9095807523
010200010210,197.819437116
010200010301,105.08805728
010200010302,233.858924538
010200010303,120.853909969
010200010304,89.0072338581
010200010305,250.192872196
010200010306,91.652226001
010200010307,246.127469152
010200010308,428.22974658
010200010401,168.594091505
010200010402,75.127423048
010200010403,96.8518192321
010200010404,122.940370575
010200010501,152.473246962
010200010502,88.4662811458
010200010503,122.845381171
010200010504,74.5088714659
010200010505,303.248685181
010200010506,178.611147761
010200010507,224.015993178
010200010508,135.059332073
010200010509,976.014253855
010200010601,72.760056138
010200010602,315.569510788
010200010701,84.6727553606
010200010702,467.607786298
010200010703,237.842016339
010200010704,145.732804596
010200010801,329.368125081
010200010802,132.538152158
010200010803,182.362589002
010200010804,136.327198684
010200010805,238.762324452
010200010901,114.444147348
010200010902,97.1871948242
010200010903,231.260784149
010200010904,570.394782603
010200010905,1134.1977995
010200010906,285.991026521
010200010907,267.162915945
010200011001,108.339811027
010200011002,372.51217711
010200011003,193.478907585
010200011004,460.212055743
010200011005,379.920167148
010200011006,226.300002873
010200011007,603.077645779
010200020101,30.359099403
010200020102,130.546602294
010200020103,64.9841598421
010200020104,63.4374727309
010200020105,257.498278975
010200020106,191.962163746
010200020107,95.370141536
010200020108,91.9023067057
010200020201,127.053111553
010200020202,109.247200876
010200020203,59.9017334878
010200020204,402.097784281
010200020205,282.982911855
010200020301,122.7585693
010200020302,133.270906687
010200020303,107.576834619
010200020304,190.640255034
010200020401,293.513311863
010200020402,290.502150357
