NativeAquaticAtRisk,NativeAqRarityIndexNorm,NativeVulnIndexAquatic,TotalAquaticSpeciesRich,HUC_12
2,0.0,0.0384615384615,63,010100080102
2,0.0,0.0384615384615,69,010100080401
2,0.0,0.0384615384615,69,010100080403
2,0.0,0.0384615384615,69,010100080404
2,0.0,0.0384615384615,69,010100080405
2,0.0,0.0384615384615,69,010100080406
2,0.0,0.0384615384615,70,010100080407
2,0.0,0.0384615384615,69,010100080408
2,0.0,0.0384615384615,66,010100080503
2,0.0,0.0384615384615,66,010100080504
2,0.0,0.0384615384615,66,010100081107
2,0.0,0.0384615384615,66,010100081108
2,0.0,0.0384615384615,66,010100090601
2,0.0,0.0384615384615,66,010100090603
2,0.0,0.0384615384615,66,010100090604
2,0.0,0.0384615384615,66,010100090605
2,0.0,0.0384615384615,66,010100090607
2,0.0,0.0384615384615,66,010100090608
2,0.0,0.0384615384615,67,010100100101
2,0.0,0.0384615384615,67,010100100102
2,0.0,0.0384615384615,67,010100100201
2,0.0,0.0384615384615,67,010100100202
2,0.0,0.0384615384615,67,010100100203
2,0.0,0.0384615384615,67,010100100204
2,0.0,0.0384615384615,67,010100100205
2,0.0,0.0384615384615,67,010100100206
2,0.0,0.0384615384615,67,010100100207
3,0.0,0.0576923076923,71,010100110103
2,0.0,0.0384615384615,64,010200010101
2,0.0,0.0384615384615,64,010200010102
2,0.0,0.0384615384615,64,010200010103
2,0.0,0.0384615384615,64,010200010104
2,0.0,0.0384615384615,64,010200010105
2,0.0,0.0384615384615,64,010200010106
2,0.0,0.0384615384615,64,010200010201
2,0.0,0.0384615384615,67,010200010202
2,0.0,0.0384615384615,67,010200010203
2,0.0,0.0384615384615,67,010200010204
2,0.0,0.0384615384615,64,010200010205
2,0.0,0.0384615384615,64,010200010206
2,0.0,0.0384615384615,64,010200010207
2,0.0,0.0384615384615,64,010200010208
2,0.0,0.0384615384615,64,010200010209
2,0.0,0.0384615384615,64,010200010210
2,0.0,0.0384615384615,64,010200010301
2,0.0,0.0384615384615,64,010200010302
2,0.0,0.0384615384615,64,010200010303
2,0.0,0.0384615384615,64,010200010304
2,0.0,0.0384615384615,64,010200010305
2,0.0,0.0384615384615,64,010200010306
2,0.0,0.0384615384615,64,010200010307
2,0.0,0.0384615384615,64,010200010308
2,0.0,0.0384615384615,64,010200010401
2,0.0,0.0384615384615,64,010200010402
2,0.0,0.0384615384615,64,010200010403
2,0.0,0.0384615384615,64,010200010404
2,0.0,0.0384615384615,64,010200010501
2,0.0,0.0384615384615,64,010200010502
2,0.0,0.0384615384615,64,010200010503
2,0.0,0.0384615384615,64,010200010504
2,0.0,0.0384615384615,64,010200010505
2,0.0,0.0384615384615,64,010200010506
2,0.0,0.0384615384615,64,010200010507
2,0.0,0.0384615384615,64,010200010508
2,0.0,0.0384615384615,64,010200010509
2,0.0,0.0384615384615,64,010200010601
2,0.0,0.0384615384615,64,010200010602
2,0.0,0.0384615384615,64,010200010701
2,0.0,0.0384615384615,64,010200010702
2,0.0,0.0384615384615,64,010200010703
2,0.0,0.0384615384615,64,010200010704
2,0.0,0.0384615384615,64,010200010801
2,0.0,0.0384615384615,64,010200010802
2,0.0,0.0384615384615,64,010200010803
2,0.0,0.0384615384615,64,010200010804
2,0.0,0.0384615384615,64,010200010805
2,0.0,0.0384615384615,64,010200010901
2,0.0,0.0384615384615,64,010200010902
2,0.0,0.0384615384615,64,010200010903
2,0.0,0.0384615384615,64,010200010904
2,0.0,0.0384615384615,65,010200010905
2,0.0,0.0384615384615,66,010200010906
2,0.0,0.0384615384615,66,010200010907
2,0.0,0.0384615384615,64,010200011001
2,0.0,0.0384615384615,64,010200011002
2,0.0,0.0384615384615,65,010200011003
2,0.0,0.0384615384615,65,010200011004
2,0.0,0.0384615384615,65,010200011005
2,0.0,0.0384615384615,65,010200011006
2,0.0,0.0384615384615,65,010200011007
2,0.0,0.0384615384615,62,010200020101
2,0.0,0.0384615384615,65,010200020102
2,0.0,0.0384615384615,65,010200020103
2,0.0,0.0384615384615,65,010200020104
2,0.0,0.0384615384615,65,010200020105
2,0.0,0.0384615384615,65,010200020106
2,0.0,0.0384615384615,65,010200020107
2,0.0,0.0384615384615,62,010200020108
2,0.0,0.0384615384615,62,010200020201
2,0.0,0.0384615384615,62,010200020202
2,0.0,0.0384615384615,65,010200020203
2,0.0,0.0384615384615,65,010200020204
2,0.0,0.0384615384615,65,010200020205
2,0.0,0.0384615384615,66,010200020301
2,0.0,0.0384615384615,66,010200020302
2,0.0,0.0384615384615,66,010200020303
2,0.0,0.0384615384615,66,010200020304
2,0.0,0.0384615384615,67,010200020401
2,0.0,0.0384615384615,67,010200020402
2,0.0,0.0384615384615,67,010200020403
2,0.0,0.0384615384615,67,010200020404
2,0.0,0.0384615384615,67,010200020405
2,0.0,0.0384615384615,67,010200020406
2,0.0,0.0384615384615,67,010200020407
2,0.0,0.0384615384615,67,010200020408
2,0.0,0.0384615384615,66,010200020501
2,0.0,0.0384615384615,65,010200020502
2,0.0,0.0384615384615,66,010200020503
2,0.0,0.0384615384615,68,010200020504
2,0.0,0.0384615384615,68,010200020505
2,0.0,0.0384615384615,68,010200020506
2,0.0,0.0384615384615,67,010200020507
2,0.0,0.0384615384615,57,010200030101
2,0.0,0.0384615384615,54,010200030102
2,0.0,0.0384615384615,54,010200030103
2,0.0,0.0384615384615,54,010200030104
2,0.0,0.0384615384615,54,010200030105
2,0.0,0.0384615384615,54,010200030106
2,0.0,0.0384615384615,54,010200030107
2,0.0,0.0384615384615,53,010200030108
2,0.0,0.0384615384615,54,010200030109
2,0.0,0.0384615384615,53,010200030110
2,0.0,0.0384615384615,53,010200030111
2,0.0,0.0384615384615,53,010200030112
2,0.0,0.0384615384615,53,010200030113
2,0.0,0.0384615384615,54,010200030201
2,0.0,0.0384615384615,54,010200030202
2,0.0,0.0384615384615,54,010200030203
2,0.0,0.0384615384615,54,010200030204
2,0.0,0.0384615384615,54,010200030205
