HUC_12,PAGHYD80
010200050307,0.0400000007875
010200050308,0.0500000096847
010200050309,0.0700000244243
010200050310,0.190000002614
010200050311,0.319999994861
010200050401,0.649999944286
010200050402,0.0900000021144
010200050403,0.309999993358
010200050404,0.130000009237
010200050405,0.150000002818
010200050406,0.32999999204
010200050407,0.180000004222
010200050408,0.819999979947
010200050501,0.719999997362
010200050502,0.560000144864
010200050503,1.26000003198
010200050504,0.610000013627
010200050505,2.8200000447
010200050506,2.96999994793
010200050507,0.740000174735
010200050508,0.690000058379
010200050509,0.969999932092
010200050510,1.79999999579
010200050601,0.320000045098
010200050602,0.529999993097
010200050603,1.63999987842
010200050701,1.1800000403
010200050702,3.36000001266
010200050703,2.62999995659
010200050704,3.88999968432
010200050705,5.2200000015
010200050706,4.45999997664
010200050707,3.28999981148
010200050801,1.07000016419
010200050802,1.57999986909
010200050803,1.07000001515
010200050804,1.31000006611
010200050805,2.94999996949
010200050901,0.809999993305
010200050902,0.590000091593
010200050903,1.89999975916
010200050904,1.96999986807
010200050905,0.340000011957
010200050906,0.419999997465
010200051001,1.46000019706
010200051002,0.600000130474
010200051003,2.19999975582
010200051004,0.190000002133
010200051005,0.350000123589
010200051006,0.560000027718
010200051007,1.69000003159
010200051008,2.48999996886
010200051009,1.17000000934
010300010101,0.0
010300010102,0.0
010300010201,0.0
010300010202,0.0
010300010203,0.0
010300010204,0.0
010300010205,0.0
010300010206,0.0
010300010301,0.0
010300010302,0.0199982932164
010300010303,6.65078220819e-08
010300010304,0.0100000000099
010300010305,0.0
010300010306,0.0
010300010307,0.0
010300010308,4.78331156898e-09
010300010309,0.0299999931951
010300010310,1.09327608999e-09
010300010401,0.0
010300010402,0.0
010300010403,1.67209994925e-09
010300010404,5.09374077462e-10
010300010501,0.0
010300010502,0.0
010300010503,0.0
010300010504,4.11911017241e-10
010300010505,0.0
010300010506,0.0
010300010507,5.50329713503e-10
010300010508,1.17228518203e-09
010300010509,0.0
010300010510,0.010000000145
010300010601,0.0100000180833
010300010602,0.0100000277036
010300010603,0.139999964523
010300010604,1.62705120406e-09
010300010605,0.00999999703505
010300010606,0.0
010300010607,4.69654623927e-09
010300010608,0.019999986993
010300010609,0.0
010300010610,1.98772695741e-09
010300020101,0.0
010300020102,0.00999537036842
010300020103,0.0
010300020104,0.0
010300020105,0.0
010300020106,0.029999994469
010300020201,1.49738817497e-09
010300020202,2.16302689738e-09
010300020203,1.70152208046e-09
010300020204,0.0299999992525
010300020301,1.24181929764e-10
010300020302,1.83011575277e-09
010300020303,0.0100000032507
010300020304,5.43599425811e-10
010300020401,0.0
010300020402,0.0
010300020403,0.0
010300020404,0.0
010300020405,0.0
010300020406,0.0
010300020501,0.0
010300020502,0.0
010300020503,4.83538997828e-10
010300020504,1.04021817013e-10
010300020505,0.0100000000068
010300020506,0.00999999974214
010300030101,0.0399999952262
010300030102,5.58762508511e-10
010300030103,9.36912425774e-09
010300030104,0.0
010300030105,0.0500000308287
010300030106,4.56297518112e-08
010300030201,2.84116059153e-08
