HUC_12,MB_Demand
010100040703,16.3428447749
010100040801,16.1016426347
010100040802,8.91698323563
010100040803,8.50283316523
010100040804,20.789092999
010100040805,39.3930629939
010100040901,57.920294825
010100040902,18.5893826894
010100040903,20.2708568051
010100040904,54.7960431986
010100040905,25.6037068442
010100040906,16.2663083225
010100040907,9.99959496036
010100040908,22.8056955189
010100040909,35.5752179325
010100041001,46.8438941911
010100041002,17.3491930515
010100041003,11.3899167478
010100041004,18.1706351265
010100041005,22.7326541618
010100041006,14.6071970612
010100041007,35.3129828945
010100041008,39.2949145958
010100041009,82.3410525694
010100041101,45.9391645044
010100041102,17.2662671804
010100041103,28.0600629151
010100041104,41.489040643
010100041105,21.7223943472
010100041106,26.4990996569
010100041107,19.9621965438
010100041108,35.2661194652
010100041109,36.7907435969
010100041110,24.5947599709
010100041111,4.26219823956
010100041112,39.8759022132
010100041113,53.3990160897
010100050101,10.5114371516
010100050102,25.859497048
010100050201,40.2326450646
010100050202,11.3032406382
010100050203,44.1924283691
010100050301,10.9531280063
010100050302,21.5016218163
010100050303,19.4912335798
010100050304,10.8030193187
010100050305,28.6010878868
010100050306,10.1546616107
010100050307,24.7705008276
010100050308,6.12911300734
010100060101,2.04157268675
010100060102,2.03636109503
010100060103,1.73764617252
010100060104,6.36952555785
010100060105,1.25117945811
010100060106,1.05765626859
010100060107,1.36789226416
010100060108,1.432525635
010100060109,2.26005917124
010100060201,0.487393790623
010100060202,0.362849097233
010100060203,0.114283186966
010100060204,1.40758153913
010100060205,0.588815138559
010100060206,0.962639605859
010100060207,2.19840476243
010100060208,1.73918537237
010100060305,0.151962609496
010100060306,0.0517238951288
010100060307,0.0101119084284
010100060312,0.247741036699
010100060313,1.32039273088
010100070101,1.70988156809
010100070102,0.743525778875
010100070103,2.27194210351
010100070204,0.0431381468661
010100070205,0.340507593704
010100070206,0.834059264511
010100070207,0.495545222424
010100070208,1.82626758609
010100070209,2.11280399701
010100070301,0.313285114709
010100070302,0.329183993395
010100070303,1.13159781881
010100070304,2.84106673766
010100070305,4.13648306858
010100070306,4.24592143716
010100070401,1.0358700268
010100070402,1.67794808559
010100070403,4.78692760691
010100070404,4.52706239047
010100070405,6.2048686156
010100070502,0.044480769895
010100070503,5.15826266306
