HUC_12,AWDBYHUC,AWD_MGAL
010200030605,3008,0.003008
010200030606,0,0.0
010200030607,0,0.0
010200030701,0,0.0
010200030702,0,0.0
010200030703,7425,0.007425
010200030704,0,0.0
010200040101,0,0.0
010200040102,0,0.0
010200040103,0,0.0
010200040104,0,0.0
010200040105,0,0.0
010200040106,0,0.0
010200040107,0,0.0
010200040108,0,0.0
010200040109,0,0.0
010200040110,0,0.0
010200040111,0,0.0
010200040201,0,0.0
010200040202,0,0.0
010200040203,0,0.0
010200040204,0,0.0
010200040205,0,0.0
010200040301,0,0.0
010200040302,0,0.0
010200040303,0,0.0
010200040304,0,0.0
010200040305,0,0.0
010200040306,0,0.0
010200040307,0,0.0
010200040308,0,0.0
010200040309,0,0.0
010200040310,0,0.0
010200040311,0,0.0
010200040312,0,0.0
010200040401,0,0.0
010200040402,0,0.0
010200040403,0,0.0
010200040404,0,0.0
010200040405,0,0.0
010200040406,0,0.0
010200040407,0,0.0
010200040408,0,0.0
010200040409,0,0.0
010200040410,0,0.0
010200040501,0,0.0
010200040502,0,0.0
010200040503,0,0.0
010200040504,0,0.0
010200040601,0,0.0
010200040602,0,0.0
010200040603,0,0.0
010200040604,0,0.0
010200050101,0,0.0
010200050102,0,0.0
010200050103,0,0.0
010200050104,0,0.0
010200050201,4257,0.004257
010200050202,0,0.0
010200050203,0,0.0
010200050204,0,0.0
010200050205,0,0.0
010200050206,0,0.0
010200050207,0,0.0
010200050208,594,0.000594
010200050301,0,0.0
010200050302,0,0.0
010200050303,0,0.0
010200050304,0,0.0
010200050305,0,0.0
010200050306,0,0.0
010200050307,0,0.0
010200050308,0,0.0
010200050309,0,0.0
010200050310,0,0.0
010200050311,0,0.0
010200050401,0,0.0
010200050402,0,0.0
010200050403,0,0.0
010200050404,0,0.0
010200050405,0,0.0
010200050406,0,0.0
010200050407,0,0.0
010200050408,0,0.0
010200050501,0,0.0
010200050502,990,0.00099
010200050503,0,0.0
010200050504,495,0.000495
010200050505,6039,0.006039
010200050506,0,0.0
010200050507,0,0.0
010200050508,0,0.0
010200050509,0,0.0
010200050510,0,0.0
010200050601,0,0.0
010200050602,297,0.000297
010200050603,594,0.000594
010200050701,0,0.0
010200050702,0,0.0
010200050703,7326,0.007326
010200050704,99,9.9e-05
010200050705,1188,0.001188
010200050706,0,0.0
010200050707,495,0.000495
010200050801,0,0.0
010200050802,0,0.0
010200050803,1980,0.00198
010200050804,3168,0.003168
010200050805,1188,0.001188
010200050901,378,0.000378
010200050902,0,0.0
010200050903,0,0.0
010200050904,0,0.0
010200050905,0,0.0
010200050906,0,0.0
010200051001,3960,0.00396
010200051002,0,0.0
010200051003,0,0.0
010200051004,0,0.0
010200051005,0,0.0
010200051006,0,0.0
010200051007,0,0.0
010200051008,0,0.0
010200051009,259,0.000259
010300010101,0,0.0
010300010102,0,0.0
010300010201,0,0.0
010300010202,0,0.0
010300010203,0,0.0
010300010204,0,0.0
010300010205,0,0.0
010300010206,0,0.0
010300010301,0,0.0
010300010302,0,0.0
010300010303,0,0.0
010300010304,0,0.0
010300010305,0,0.0
010300010306,0,0.0
010300010307,0,0.0
010300010308,0,0.0
010300010309,0,0.0
010300010310,0,0.0
010300010401,0,0.0
010300010402,0,0.0
010300010403,0,0.0
010300010404,0,0.0
010300010501,0,0.0
010300010502,0,0.0
010300010503,0,0.0
010300010504,0,0.0
010300010505,0,0.0
010300010506,0,0.0
010300010507,0,0.0
010300010508,0,0.0
010300010509,0,0.0
010300010510,0,0.0
010300010601,0,0.0
010300010602,0,0.0
010300010603,0,0.0
010300010604,0,0.0
010300010605,0,0.0
010300010606,0,0.0
010300010607,0,0.0
010300010608,0,0.0
010300010609,0,0.0
010300010610,0,0.0
010300020101,0,0.0
010300020102,0,0.0
010300020103,0,0.0
010300020104,0,0.0
010300020105,0,0.0
010300020106,0,0.0
010300020201,0,0.0
010300020202,0,0.0
010300020203,0,0.0
010300020204,0,0.0
010300020301,0,0.0
010300020302,0,0.0
010300020303,0,0.0
010300020304,0,0.0
010300020401,0,0.0
010300020402,0,0.0
010300020403,0,0.0
010300020404,0,0.0
010300020405,0,0.0
010300020406,0,0.0
010300020501,0,0.0
010300020502,0,0.0
010300020503,0,0.0
010300020504,0,0.0
010300020505,0,0.0
010300020506,0,0.0
010300030101,0,0.0
010300030102,0,0.0
010300030103,0,0.0
010300030104,0,0.0
010300030105,0,0.0
010300030106,0,0.0
010300030201,0,0.0
010300030202,0,0.0
010300030203,0,0.0
010300030301,0,0.0
010300030302,0,0.0
010300030303,0,0.0
010300030304,0,0.0
010300030401,0,0.0
010300030402,0,0.0
010300030501,0,0.0
010300030502,0,0.0
010300030503,0,0.0
010300030601,0,0.0
010300030602,0,0.0
010300030701,0,0.0
010300030702,0,0.0
010300030703,0,0.0
010300030801,0,0.0
010300030802,0,0.0
010300030803,0,0.0
010300030804,0,0.0
010300030901,0,0.0
010300030902,0,0.0
010300030903,0,0.0
010300030904,0,0.0
010300030905,0,0.0
010300031001,0,0.0
010300031002,0,0.0
010300031003,0,0.0
010300031004,0,0.0
010300031101,0,0.0
010300031102,0,0.0
010300031103,0,0.0
010300031201,0,0.0
010300031202,0,0.0
010300031203,0,0.0
010300031204,0,0.0
010300031205,0,0.0
010300031206,3827,0.003827
010300031301,0,0.0
010300031302,0,0.0
010300031401,0,0.0
010300031402,0,0.0
010300031403,888,0.000888
010300031404,1332,0.001332
010300031405,0,0.0
010300031501,0,0.0
010300031502,0,0.0
010300031503,0,0.0
010300031504,0,0.0
010300031505,0,0.0
010300031506,0,0.0
010300031507,0,0.0
010300031601,0,0.0
010300031602,0,0.0
010300031603,0,0.0
010300031604,0,0.0
010300031605,0,0.0
010300031606,0,0.0
010300031701,0,0.0
010300031702,0,0.0
010300031801,0,0.0
010300031802,0,0.0
010300031803,0,0.0
010300031804,0,0.0
010300031805,4950,0.00495
010300031806,396,0.000396
010300031901,0,0.0
010300031902,0,0.0
010300031903,0,0.0
010300031904,0,0.0
010300032001,0,0.0
010300032002,0,0.0
010300032003,0,0.0
010300032004,0,0.0
010300032005,0,0.0
010300032101,532,0.000532
010300032102,0,0.0
010300032103,0,0.0
010300032104,0,0.0
010300032105,3857,0.003857
010300032106,0,0.0
010300032201,0,0.0
010300032202,0,0.0
010300032203,0,0.0
010300032204,0,0.0
010300032205,133,0.000133
010300032301,0,0.0
010300032302,0,0.0
010300032303,0,0.0
010300032304,0,0.0
010300032305,0,0.0
010300032306,0,0.0
010300032307,0,0.0
010300032308,0,0.0
010300032309,0,0.0
010300032401,0,0.0
010300032402,2261,0.002261
010300032403,0,0.0
010300032404,0,0.0
010300032405,0,0.0
010300032406,0,0.0
010300032407,0,0.0
010300032408,0,0.0
010300032409,0,0.0
010400010101,0,0.0
010400010102,0,0.0
010400010103,0,0.0
010400010104,0,0.0
010400010105,0,0.0
010400010106,0,0.0
010400010107,0,0.0
010400010108,0,0.0
010400010109,0,0.0
010400010110,0,0.0
010400010201,0,0.0
010400010202,0,0.0
010400010203,0,0.0
010400010301,0,0.0
010400010302,0,0.0
010400010303,0,0.0
010400010304,0,0.0
010400010305,0,0.0
010400010306,0,0.0
010400010401,0,0.0
010400010402,0,0.0
010400010403,0,0.0
010400010404,0,0.0
010400010405,0,0.0
010400010406,0,0.0
010400010501,0,0.0
010400010502,0,0.0
010400010601,0,0.0
010400010602,0,0.0
010400010603,0,0.0
010400010604,0,0.0
010400010605,0,0.0
010400010606,0,0.0
010400010607,0,0.0
010400020101,0,0.0
010400020102,0,0.0
010400020103,0,0.0
010400020201,0,0.0
010400020202,0,0.0
010400020203,0,0.0
010400020204,0,0.0
010400020205,0,0.0
010400020206,0,0.0
010400020207,0,0.0
010400020301,0,0.0
010400020302,0,0.0
010400020303,0,0.0
010400020304,0,0.0
010400020305,0,0.0
010400020401,0,0.0
010400020402,0,0.0
010400020403,0,0.0
010400020404,0,0.0
010400020405,0,0.0
010400020406,3472,0.003472
010400020501,0,0.0
010400020502,0,0.0
010400020503,0,0.0
010400020504,0,0.0
010400020505,0,0.0
010400020601,0,0.0
010400020602,0,0.0
010400020603,0,0.0
010400020604,0,0.0
010400020605,0,0.0
010400020606,1938,0.001938
010400020701,0,0.0
010400020702,0,0.0
010400020703,0,0.0
010400020704,0,0.0
010400020801,1326,0.001326
010400020802,0,0.0
010400020803,0,0.0
010400020901,0,0.0
010400020902,0,0.0
010400020903,0,0.0
010400020904,0,0.0
010400020905,0,0.0
010400020906,0,0.0
010400020907,0,0.0
010400020908,0,0.0
010400020909,0,0.0
010400020910,816,0.000816
010400021001,0,0.0
010400021002,1224,0.001224
010400021003,0,0.0
010400021004,0,0.0
010400021005,612,0.000612
010400021006,0,0.0
010400021007,0,0.0
010500010101,0,0.0
010500010102,0,0.0
010500010207,0,0.0
010500010301,0,0.0
010500010302,0,0.0
010500010303,0,0.0
010500010304,0,0.0
010500010305,0,0.0
010500010306,0,0.0
010500010307,0,0.0
010500010401,0,0.0
010500010402,259,0.000259
010500010403,0,0.0
010500010404,0,0.0
010500010501,0,0.0
010500010502,0,0.0
010500010503,0,0.0
010500010504,703,0.000703
010500010505,0,0.0
010500010506,0,0.0
010500010601,0,0.0
010500010602,0,0.0
010500010603,0,0.0
010500010604,111,0.000111
010500010605,0,0.0
010500010606,777,0.000777
010500010701,0,0.0
010500010702,0,0.0
010500010705,0,0.0
010500010706,0,0.0
010500010707,0,0.0
010500010708,0,0.0
010500010801,0,0.0
010500010802,0,0.0
010500010804,0,0.0
010500010806,0,0.0
010500010809,0,0.0
010500010810,407,0.000407
010500020101,1073,0.001073
010500020102,5254,0.005254
010500020103,4884,0.004884
010500020104,16021,0.016021
010500020201,11544,0.011544
010500020202,2923,0.002923
010500020203,2960,0.00296
010500020204,2701,0.002701
010500020205,2146,0.002146
010500020301,0,0.0
010500020302,0,0.0
010500020401,0,0.0
010500020402,0,0.0
010500020403,0,0.0
010500020501,2960,0.00296
010500020502,2294,0.002294
010500020503,18574,0.018574
010500020601,147630,0.14763
010500020602,98087,0.098087
010500020603,5920,0.00592
010500020604,3330,0.00333
010500020701,0,0.0
010500020702,0,0.0
010500020703,0,0.0
010500020801,18426,0.018426
010500020802,3626,0.003626
010500020803,4514,0.004514
010500020804,0,0.0
010500020805,0,0.0
010500020901,0,0.0
010500020902,246531,0.246531
010500020903,67525,0.067525
010500020904,15318,0.015318
010500020905,0,0.0
010500020906,92352,0.092352
010500020907,0,0.0
010500020908,0,0.0
010500021001,0,0.0
010500021002,72631,0.072631
010500021003,0,0.0
010500021004,16724,0.016724
010500021005,145336,0.145336
010500021006,0,0.0
010500021007,0,0.0
010500021008,0,0.0
010500021101,0,0.0
010500021102,4884,0.004884
010500021103,0,0.0
010500021104,0,0.0
010500021105,0,0.0
010500021106,0,0.0
010500021107,0,0.0
010500021108,0,0.0
010500021109,0,0.0
010500021110,0,0.0
010500021111,0,0.0
010500021201,0,0.0
010500021202,0,0.0
010500021203,0,0.0
010500021204,0,0.0
010500021205,0,0.0
010500021206,0,0.0
010500021207,0,0.0
010500021208,555,0.000555
010500021209,0,0.0
010500021210,0,0.0
010500021211,0,0.0
010500021212,0,0.0
010500021213,0,0.0
010500021214,0,0.0
010500021215,0,0.0
010500021301,0,0.0
010500021302,0,0.0
010500021303,0,0.0
010500021304,0,0.0
010500021401,0,0.0
010500021402,0,0.0
010500021403,0,0.0
010500021404,0,0.0
010500021405,0,0.0
010500021406,0,0.0
010500021407,0,0.0
010500021408,0,0.0
010500021409,0,0.0
010500021410,0,0.0
010500021501,0,0.0
010500021502,0,0.0
010500021503,0,0.0
010500021504,0,0.0
010500021505,0,0.0
010500021506,0,0.0
010500021507,0,0.0
010500021508,0,0.0
010500021509,0,0.0
010500021601,0,0.0
010500021602,111,0.000111
010500021701,0,0.0
010500021702,0,0.0
010500021703,0,0.0
010500021801,0,0.0
010500021802,0,0.0
010500021803,0,0.0
010500021901,0,0.0
010500021902,0,0.0
010500021903,0,0.0
010500021904,0,0.0
010500021905,0,0.0
010500021906,0,0.0
010500021907,0,0.0
010500021908,0,0.0
010500021909,0,0.0
010500030101,0,0.0
010500030102,0,0.0
010500030103,0,0.0
010500030104,174,0.000174
010500030105,0,0.0
010500030106,232,0.000232
010500030107,116,0.000116
010500030201,464,0.000464
010500030202,0,0.0
010500030203,0,0.0
010500030204,0,0.0
010500030205,0,0.0
010500030206,0,0.0
010500030301,168,0.000168
010500030302,0,0.0
