HUC_12,FF_Demand
010100100102,193.110664606
010100100201,919.969700575
010100100202,867.156023264
010100100203,434.637975454
010100100204,571.200704098
010100100205,848.102524638
010100100206,378.510861158
010100100207,33.6773450375
010100110103,282.198681951
010200010101,28.0245137289
010200010102,30.9343574494
010200010103,66.0557766184
010200010104,99.2609096915
010200010105,53.7428497002
010200010106,324.373316482
010200010201,174.409126997
010200010202,47.8687168509
010200010203,51.6033711433
010200010204,192.333155423
010200010205,106.032686353
010200010206,111.751732111
010200010207,168.816145748
010200010208,54.4998995662
010200010209,88.828836292
010200010210,316.777674049
010200010301,157.462145627
010200010302,349.846509546
010200010303,208.207104683
010200010304,152.387778878
010200010305,415.948238552
010200010306,139.641502619
010200010307,398.880376399
010200010308,673.569589078
010200010401,248.200788915
010200010402,112.041385621
010200010403,153.035590127
010200010404,187.780353218
010200010501,240.820382863
010200010502,144.111236781
010200010503,209.310665786
010200010504,122.90762049
010200010505,528.73002255
010200010506,314.749542236
010200010507,382.276243746
010200010508,225.665770113
010200010509,1635.00987065
010200010601,128.985633373
010200010602,550.436905861
010200010701,149.196675301
010200010702,844.80642879
010200010703,422.43334806
010200010704,264.328670621
010200010801,612.900875568
010200010802,245.123601913
010200010803,336.922892809
010200010804,249.392115355
010200010805,435.886289835
010200010901,201.413190126
010200010902,172.306677699
010200010903,413.345874071
010200010904,1009.79452574
010200010905,2036.17956042
010200010906,511.077563286
010200010907,462.136804461
010200011001,192.559326887
010200011002,662.79235816
010200011003,344.709528327
010200011004,809.23979485
010200011005,615.520774364
010200011006,384.685473561
010200011007,1019.12990296
010200020101,47.5630906522
010200020102,204.972376898
010200020103,107.443992883
010200020104,106.773323029
010200020105,441.829537213
010200020106,334.680395901
010200020107,171.567802131
010200020108,170.683221638
010200020201,230.410279155
010200020202,203.221979141
010200020203,112.057996809
010200020204,742.390668869
010200020205,544.646921277
010200020301,238.101843059
010200020302,256.151564181
010200020303,202.507960796
010200020304,359.694155812
010200020401,590.001256824
010200020402,583.475795746
010200020403,190.591598809
010200020404,150.468520045
010200020405,384.933126092
010200020406,381.428837776
010200020407,457.503541231
010200020408,798.878023028
010200020501,258.025214672
010200020502,1177.78486669
010200020503,321.660861731
010200020504,490.636055231
010200020505,534.355461836
010200020506,297.058487296
010200020507,1159.35075939
010200030101,401.707095146
010200030102,253.991982937
010200030103,359.840916753
010200030104,384.287715077
010200030105,452.640028
010200030106,389.346667767
010200030107,924.218670964
010200030108,483.754420519
010200030109,622.571362615
010200030110,427.968849182
010200030111,363.277382255
010200030112,584.286076307
010200030113,360.145987988
010200030201,784.295432091
010200030202,457.947125912
010200030203,127.889713526
010200030204,507.099050641
010200030205,1025.42372155
010200030301,755.277182817
010200030302,289.467803359
010200030303,670.171805859
010200030401,2814.50037456
010200030402,1018.98311913
010200030403,621.809358835
010200030404,481.837471247
010200030501,387.746562123
010200030502,801.499758005
010200030503,1313.17341399
010200030504,265.634979606
