HUC_12,MeanPrecip
010100070507,42.011100769
010100070601,50.2380981445
010100070602,46.8333015442
010100070603,46.4305992126
010100070604,43.9118003845
010100070605,46.113899231
010100070606,44.2150993347
010100070607,42.523235321
010100070701,43.4385986328
010100070702,41.8499984741
010100070703,40.4508094788
010100080101,39.8661003113
010100080102,38.8040008545
010100080401,49.1423149109
010100080403,46.5228538513
010100080404,45.4038009644
010100080405,43.7393989563
010100080406,45.0749969482
010100080407,40.7411422729
010100080408,43.4211006165
010100080503,42.1421012878
010100080504,41.1441993713
010100081107,42.0369987488
010100081108,44.4035987854
010100090601,42.3213005066
010100090603,41.5885009766
010100090604,40.8833007812
010100090605,41.6352996826
010100090607,42.3333015442
010100090608,42.75
010100100101,41.2051010132
010100100102,41.1020011902
010100100201,38.4020004272
010100100202,39.0611991882
010100100203,40.4583015442
010100100204,41.0
010100100205,41.554599762
010100100206,41.2055015564
010100100207,41.0374984741
010100110103,41.3866615295
010200010101,45.7090988159
010200010102,45.9230995178
010200010103,46.0092010498
010200010104,45.7694778442
010200010105,46.0971755981
010200010106,45.4404983521
010200010201,46.649230957
010200010202,45.8224029541
010200010203,46.0089683533
010200010204,46.086681366
010200010205,46.4166984558
010200010206,45.4814987183
010200010207,44.5416984558
010200010208,46.25
010200010209,44.8246002197
010200010210,43.7328987122
010200010301,43.904800415
010200010302,44.0904006958
010200010303,44.5509986877
010200010304,43.9090995789
010200010305,42.3613014221
010200010306,42.615398407
010200010307,42.3779983521
010200010308,42.2084999084
010200010401,43.7739982605
010200010402,42.8413009644
010200010403,42.6385002136
010200010404,42.9216003418
010200010501,42.0
010200010502,42.0
010200010503,42.1071014404
010200010504,42.0
010200010505,43.5999984741
010200010506,43.0149002075
010200010507,43.3889007568
010200010508,41.9166984558
010200010509,41.7752990723
010200010601,43.4634017944
010200010602,47.0567016602
010200010701,42.7999992371
010200010702,44.5140991211
010200010703,42.5119018555
010200010704,43.9756011963
010200010801,45.2027015686
010200010802,48.0285987854
010200010803,46.7332992554
010200010804,45.3590011597
010200010805,43.1525001526
010200010901,51.2221984863
010200010902,52.9429016113
010200010903,43.0379981995
010200010904,42.5770988464
010200010905,43.1684989929
010200010906,42.9824981689
010200010907,43.0
010200011001,49.1579017639
010200011002,50.0382003784
010200011003,44.3064002991
010200011004,43.0303001404
010200011005,42.9883995056
010200011006,42.9297981262
010200011007,42.4878005981
010200020101,42.3810005188
010200020102,42.9847984314
010200020103,41.957698822
010200020104,42.0
010200020105,41.5635986328
010200020106,42.07970047
010200020107,42.1110992432
010200020108,42.0
010200020201,41.8297996521
010200020202,41.9725990295
010200020203,50.8181991577
010200020204,44.1324996948
010200020205,42.2653999329
010200020301,43.3390007019
010200020302,44.2112998962
010200020303,45.8039016724
010200020304,44.3721008301
010200020401,41.5503997803
010200020402,43.551700592
010200020403,42.2000007629
010200020404,43.0
010200020405,42.3263015747
010200020406,42.5401992798
010200020407,45.2916984558
010200020408,44.7739982605
010200020501,46.7999992371
010200020502,51.7667999268
010200020503,43.5577011108
010200020504,44.3819999695
010200020505,43.2527008057
010200020506,42.7727012634
010200020507,43.3967018127
010200030101,45.0252990723
010200030102,43.7020988464
010200030103,43.0
010200030104,43.8055992126
010200030105,45.3586997986
010200030106,43.1940002441
010200030107,44.6133003235
010200030108,42.9528999329
010200030109,42.8017997742
010200030110,42.3377990723
010200030111,42.3016014099
010200030112,43.4804000854
010200030113,42.9682998657
010200030201,42.3730010986
010200030202,42.1711006165
010200030203,42.1304016113
010200030204,42.3059005737
010200030205,42.3791007996
010200030301,43.3452644348
010200030302,44.0
010200030303,43.9129867554
010200030401,44.9889984131
010200030402,44.0769004822
010200030403,44.2442016602
010200030404,44.0
010200030501,44.0
