HUC_12,SUM_INDGAL,IWD_MGAL,Ind_Facilities
010200051009,293700.618596,0.293700618596,10
010300010302,187318.181818,0.187318181818,1
010300010309,561954.545454,0.561954545454,3
010300010510,30894.117647,0.030894117647,4
010300020103,272903.816794,0.272903816794,1
010300020203,272903.816794,0.272903816794,1
010300020303,545807.633588,0.545807633588,2
010300030203,374636.363636,0.374636363636,2
010300030301,561954.545454,0.561954545454,3
010300030302,187318.181818,0.187318181818,1
010300030303,374636.363636,0.374636363636,2
010300030304,936590.90909,0.93659090909,5
010300030401,545807.633588,0.545807633588,2
010300030402,1637422.90076,1.63742290076,6
010300030502,272903.816794,0.272903816794,1
010300030503,818711.450382,0.818711450382,3
010300030601,2012059.2644,2.0120592644,8
010300030602,1551837.26579,1.55183726579,6
010300030703,187318.181818,0.187318181818,1
010300030802,936590.90909,0.93659090909,5
010300030804,374636.363636,0.374636363636,2
010300030902,272903.816794,0.272903816794,1
010300030903,545807.633588,0.545807633588,2
010300030904,545807.633588,0.545807633588,2
010300030905,272903.816794,0.272903816794,1
010300031001,1091615.26718,1.09161526718,4
010300031002,545807.633588,0.545807633588,2
010300031003,2729038.16794,2.72903816794,10
010300031004,6003883.96947,6.00388396947,22
010300031101,1091615.26718,1.09161526718,4
010300031102,818711.450382,0.818711450382,3
010300031103,3820653.43512,3.82065343512,14
010300031202,818711.450382,0.818711450382,3
010300031203,374636.363636,0.374636363636,2
010300031204,460221.998612,0.460221998612,2
010300031206,2456134.35115,2.45613435115,9
010300031301,1873181.81818,1.87318181818,10
010300031302,3559045.45454,3.55904545454,19
010300031402,374636.363636,0.374636363636,2
010300031403,374636.363636,0.374636363636,2
010300031404,1873181.81818,1.87318181818,10
010300031405,749272.727272,0.749272727272,4
010300031501,3746363.63636,3.74636363636,20
010300031502,187318.181818,0.187318181818,1
010300031504,749272.727272,0.749272727272,4
010300031506,1501534.28136,1.50153428136,9
010300031507,2328516.50584,2.32851650584,39
010300031602,749272.727272,0.749272727272,4
010300031603,187318.181818,0.187318181818,1
010300031604,205654.897369,0.205654897369,5
010300031605,187318.181818,0.187318181818,1
010300031606,1311227.27273,1.31122727273,7
010300031701,374636.363636,0.374636363636,2
010300031702,1498545.45454,1.49854545454,8
010300031801,182484.309133,0.182484309133,2
010300031802,729937.236534,0.729937236534,8
010300031803,547452.9274,0.5474529274,6
010300031805,91242.1545667,0.0912421545667,1
010300031806,1094905.8548,1.0949058548,12
010300031901,461002.719142,0.461002719142,6
010300031902,364968.618267,0.364968618267,4
010300031903,2603119.05471,2.60311905471,18
010300031904,2252610.12812,2.25261012812,13
010300032001,9583.89261744,0.00958389261744,2
010300032002,14375.8389262,0.0143758389262,3
010300032003,19167.7852349,0.0191677852349,4
010300032004,4791.94630872,0.00479194630872,1
010300032005,9583.89261744,0.00958389261744,2
010300032101,16747.2535713,0.0167472535713,5
010300032102,211228.796343,0.211228796343,9
010300032103,20921.7877095,0.0209217877095,7
010300032104,29888.2681564,0.0298882681564,10
010300032105,35865.9217877,0.0358659217877,12
010300032106,53798.8826815,0.0537988826815,18
010300032201,374636.363636,0.374636363636,2
010300032202,20921.7877095,0.0209217877095,7
010300032203,11955.3072626,0.0119553072626,4
010300032204,38854.7486033,0.0388547486033,13
010300032205,1005333.92585,1.00533392585,28
010300032301,62765.3631284,0.0627653631284,21
010300032302,11955.3072626,0.0119553072626,4
010300032303,56787.7094972,0.0567877094972,19
010300032304,2988.82681564,0.00298882681564,1
010300032305,29888.2681564,0.0298882681564,10
010300032306,8966.48044692,0.00896648044692,3
010300032307,2988.82681564,0.00298882681564,1
010300032308,11955.3072626,0.0119553072626,4
010300032309,40698.9963909,0.0406989963909,14
010300032401,14944.1340782,0.0149441340782,5
010300032402,8966.48044692,0.00896648044692,3
010300032403,20921.7877095,0.0209217877095,7
010300032404,113575.418994,0.113575418994,38
010300032405,59776.5363128,0.0597765363128,20
010300032406,8966.48044692,0.00896648044692,3
010300032407,8966.48044692,0.00896648044692,3
010300032408,8262.41172129,0.00826241172129,6
010300032409,146617.410411,0.146617410411,52
010400010107,3274845.80153,3.27484580153,12
010400010109,272903.816794,0.272903816794,1
010400010202,174528.26087,0.17452826087,1
010400010403,55291.2280702,0.0552912280702,1
010400010502,55291.2280702,0.0552912280702,1
010400010606,1216407.01754,1.21640701754,22
010400010607,995242.105264,0.995242105264,18
010400020101,110582.45614,0.11058245614,2
010400020102,165873.684211,0.165873684211,3
010400020103,276456.140351,0.276456140351,5
010400020202,349056.52174,0.34905652174,2
010400020203,523584.78261,0.52358478261,3
010400020204,1396226.08696,1.39622608696,8
010400020205,174528.26087,0.17452826087,1
010400020207,523584.78261,0.52358478261,3
010400020303,349056.52174,0.34905652174,2
010400020304,349056.52174,0.34905652174,2
