HUC_12,Fertilizer_P_kg_ha
010200050305,0.00703762940109
010200050306,0.0116302543401
010200050307,0.0342592308827
010200050308,0.0304466501834
010200050309,0.0055391842678
010200050310,0.063286592397
010200050311,0.0168934367563
010200050401,0.024232662565
010200050402,0.0335809010759
010200050403,0.000998985918262
010200050404,0.0128491213761
010200050405,0.0056133681508
010200050406,0.0054124318092
010200050407,0.00800657923098
010200050408,0.0256881735391
010200050501,0.124312823422
010200050502,0.092736046333
010200050503,0.304708943068
010200050504,0.0828904842955
010200050505,0.620531498836
010200050506,0.537156486126
010200050507,0.0801252152958
010200050508,0.0684950616539
010200050509,0.0744183575246
010200050510,0.150020169386
010200050601,0.0163118937343
010200050602,0.0560359447188
010200050603,0.206671732453
010200050701,0.87199205544
010200050702,0.706196824619
010200050703,0.676748339315
010200050704,0.596987114936
010200050705,0.819934768333
010200050706,0.696786786797
010200050707,0.477264173103
010200050801,0.318641533302
010200050802,0.363151915049
010200050803,0.381369740482
010200050804,0.372388102941
010200050805,0.486533522565
010200050901,0.282541823552
010200050902,0.254760284069
010200050903,0.277271698116
010200050904,0.248988650956
010200050905,0.148832373796
010200050906,0.139060063192
010200051001,0.277274844067
010200051002,0.263078412854
010200051003,0.384766558132
010200051004,0.193458591095
010200051005,0.247806962029
010200051006,0.170238225893
010200051007,0.303571839997
010200051008,0.415219617876
010200051009,0.161063238967
010300010101,0.0
010300010102,0.0
010300010201,0.0
010300010202,0.0
010300010203,0.0
010300010204,0.0
010300010205,0.0
010300010206,0.0
010300010301,0.0
010300010302,0.0
010300010303,0.0
010300010304,0.00073582502178
010300010305,0.0
010300010306,0.0
010300010307,0.00202162655533
010300010308,0.0
010300010309,0.000934981936846
010300010310,0.0
010300010401,0.0
010300010402,0.0
010300010403,0.0
010300010404,0.0
010300010501,0.0
010300010502,0.0
010300010503,0.0
010300010504,0.0
010300010505,0.0
010300010506,0.0
010300010507,0.0
010300010508,0.0
010300010509,0.0
010300010510,3.54307972048e-05
010300010601,0.0
010300010602,0.0
010300010603,0.0
010300010604,0.0
010300010605,0.0152645806883
010300010606,0.0
010300010607,0.00179406757996
010300010608,0.0
010300010609,0.0
010300010610,0.0
010300020101,0.0
010300020102,0.0
010300020103,0.0
010300020104,0.0
010300020105,0.0
010300020106,0.0
010300020201,0.0
010300020202,0.0
010300020203,0.0
010300020204,0.0
010300020301,0.0
010300020302,0.0
010300020303,0.0
010300020304,0.00501923032229
010300020401,0.0
010300020402,0.0
010300020403,0.0
010300020404,0.0
010300020405,0.0
010300020406,0.0
010300020501,0.0
010300020502,0.0
010300020503,0.0
010300020504,0.0
010300020505,0.0
010300020506,0.0
010300030101,0.0
010300030102,0.0
010300030103,0.0118714395135
010300030104,0.00973183712783
010300030105,0.0
010300030106,0.00755971488497
010300030201,0.00944626381951
010300030202,0.0371662460451
010300030203,0.116405997718
010300030301,0.530498241623
010300030302,0.16628364197
010300030303,0.0455043800489
010300030304,0.89255253821
010300030401,0.0
010300030402,0.0121790965625
010300030501,0.00174884232165
010300030502,0.0554987892462
010300030503,0.108260533248
010300030601,0.0600219969395
010300030602,0.315714144596
010300030701,0.00214673078236
010300030702,0.0535341670382
010300030703,0.207965255447
010300030801,0.172049536825
010300030802,0.00686235668068
010300030803,0.585527674088
010300030804,0.992677431918
010300030901,0.000930265419745
010300030902,0.000794797475624
010300030903,0.00936024355943
010300030904,0.0682975898382
010300030905,0.111319699639
010300031001,0.0781568631735
010300031002,0.129877704581
010300031003,0.0844635145433
010300031004,0.37406954142
010300031101,0.0649775739254
010300031102,0.132065037977
010300031103,0.369182589713
010300031201,0.0907396621957
010300031202,0.173440472907
010300031203,0.737629355615
010300031204,0.612870513792
010300031205,0.846945378824
010300031206,1.06588532012
010300031301,1.44205411172
010300031302,1.95341680591
010300031401,0.287208138859
010300031402,0.406635939826
010300031403,1.42040044913
010300031404,1.39941942268
010300031405,1.89789631572
010300031501,1.86066069032
010300031502,1.06444607792
010300031503,0.585042790728
010300031504,1.04175004285
010300031505,1.46584388208
010300031506,0.894724452913
010300031507,1.76391045947
010300031601,0.634026956338
010300031602,0.404216154697
010300031603,0.476822882557
010300031604,0.372975406852
010300031605,0.567150983792
010300031606,0.274959128674
010300031701,1.40137485565
010300031702,1.31901441335
010300031801,0.490607454471
010300031802,0.946958733899
010300031803,1.0346467811
010300031804,2.12383712719
010300031805,0.455725160482
010300031806,0.557373418939
010300031901,0.26651471703
010300031902,0.365280197771
010300031903,1.15843826528
010300031904,0.884649218785
010300032001,0.170617632594
010300032002,0.174012003767
010300032003,0.425860407764
010300032004,0.40060165989
010300032005,0.154088154512
010300032101,0.367375345087
010300032102,1.14510969171
010300032103,0.185290200135
010300032104,0.287169075802
010300032105,0.376445986279
010300032106,0.433363295279
010300032201,0.707812171606
010300032202,0.147763044764
010300032203,0.117557145288
010300032204,0.220059112199
010300032205,1.24429954719
010300032301,0.263561577091
010300032302,0.161873183906
010300032303,0.309688127126
010300032304,0.890074084075
010300032305,0.175845280168
010300032306,0.12882206107
010300032307,0.473025921743
010300032308,0.215117699926
010300032309,0.418486541959
010300032401,0.357936725081
010300032402,0.184584263771
010300032403,0.312412712084
010300032404,0.476463690413
010300032405,0.343025504681
