HUC_12,Acres_Unpo
010300032201,0.0
010300032202,0.0
010300032203,0.0
010300032204,0.0
010300032205,0.0
010300032301,0.0
010300032302,0.0
010300032303,0.0
010300032304,0.0
010300032305,0.0
010300032306,0.0
010300032307,0.0
010300032308,0.0
010300032309,0.0
010300032401,0.0
010300032402,0.0
010300032403,0.0
010300032404,0.0
010300032405,0.0
010300032406,0.0
010300032407,0.0
010300032408,0.0
010300032409,0.0
010400010101,0.0
010400010102,0.0
010400010103,0.0
010400010104,0.0
010400010105,0.0
010400010106,0.0
010400010107,0.0
010400010108,0.0
010400010109,0.0
010400010110,0.0
010400010201,0.0
010400010202,0.0
010400010203,0.0
010400010301,0.0
010400010302,0.0
010400010303,0.0
010400010304,0.0
010400010305,0.0
010400010306,0.0
010400010401,0.0
010400010402,0.0
010400010403,0.0
010400010404,0.0
010400010405,0.0
010400010406,0.0
010400010501,0.0
010400010502,0.0
010400010601,0.0
010400010602,0.0
010400010603,0.0
010400010604,0.0
010400010605,0.0
010400010606,0.0
010400010607,0.0
010400020101,0.0
010400020102,0.0
010400020103,0.0
010400020201,0.0
010400020202,0.0
010400020203,0.0
010400020204,0.0
010400020205,0.0
010400020206,0.0
010400020207,0.0
010400020301,0.0
010400020302,0.0
010400020303,0.0
010400020304,0.0
010400020305,0.0
010400020401,0.0
010400020402,0.0
010400020403,0.0
010400020404,0.0
010400020405,0.0
010400020406,0.0
010400020501,0.0
010400020502,0.0
010400020503,0.0
010400020504,0.0
010400020505,0.0
010400020601,0.0
010400020602,0.0
010400020603,0.0
010400020604,0.0
010400020605,0.0
010400020606,0.0
010400020701,0.0
010400020702,0.0
010400020703,0.0
010400020704,0.0
010400020801,0.0
010400020802,0.0
010400020803,0.0
010400020901,0.0
010400020902,0.0
010400020903,0.0
010400020904,0.0
010400020905,0.0
010400020906,0.0
010400020907,0.0
010400020908,0.0
010400020909,0.0
010400020910,0.0
010400021001,0.0
010400021002,0.0
010400021003,0.0
010400021004,0.0
010400021005,0.0
010400021006,0.0
010400021007,0.0
010500010101,0.0
010500010102,0.0
010500010207,0.0
010500010301,0.0
010500010302,0.0
010500010303,0.0
010500010304,0.0
010500010305,0.0
010500010306,0.0
010500010307,0.0
010500010401,0.0
010500010402,0.0
010500010403,0.0
010500010404,0.0
010500010501,0.0
010500010502,0.0
010500010503,0.0
010500010504,0.0
010500010505,0.0
010500010506,0.0
010500010601,0.0
010500010602,0.0
010500010603,0.0
010500010604,0.0
010500010605,0.0
010500010606,0.0
010500010701,0.0
010500010702,0.0
010500010705,0.0
010500010706,0.0
010500010707,0.0
010500010708,0.0
010500010801,0.0
010500010802,0.0
010500010804,0.0
010500010806,0.0
010500010809,0.0
010500010810,0.0
010500020101,0.0
010500020102,0.0
010500020103,0.0
010500020104,0.0
010500020201,0.0
010500020202,0.0
010500020203,0.0
010500020204,0.0
010500020205,0.0
010500020301,0.0
010500020302,0.0
010500020401,0.0
010500020402,0.0
010500020403,0.0
010500020501,0.0
010500020502,0.0
010500020503,0.0
010500020601,0.0
010500020602,0.0
010500020603,0.0
010500020604,0.0
010500020701,0.0
010500020702,0.0
010500020703,0.0
010500020801,0.0
010500020802,0.0
010500020803,0.0
010500020804,0.0
010500020805,0.0
010500020901,0.0
010500020902,0.0
010500020903,0.0
010500020904,0.0
010500020905,0.0
010500020906,0.0
010500020907,0.0
010500020908,0.0
010500021001,0.0
010500021002,0.0
010500021003,0.0
010500021004,0.0
010500021005,0.0
010500021006,0.0
010500021007,0.0
010500021008,0.0
010500021101,0.0
010500021102,0.0
010500021103,0.0
010500021104,0.0
010500021105,0.0
010500021106,0.0
010500021107,0.0
010500021108,0.0
010500021109,0.0
010500021110,0.0
010500021111,0.0
010500021201,0.0
010500021202,0.0
010500021203,0.0
010500021204,0.0
010500021205,0.0
010500021206,0.0
010500021207,0.0
010500021208,0.0
010500021209,0.0
010500021210,0.0
010500021211,0.0
010500021212,0.0
010500021213,0.0
010500021214,0.0
010500021215,0.0
010500021301,0.0
010500021302,0.0
010500021303,0.0
010500021304,0.0
010500021401,0.0
010500021402,0.0
010500021403,0.0
010500021404,0.0
010500021405,0.0
010500021406,0.0
010500021407,0.0
010500021408,0.0
010500021409,0.0
010500021410,0.0
010500021501,0.0
010500021502,0.0
010500021503,0.0
010500021504,0.0
010500021505,0.0
010500021506,0.0
010500021507,0.0
010500021508,0.0
010500021509,0.0
010500021601,0.0
010500021602,0.0
010500021701,0.0
010500021702,0.0
010500021703,0.0
010500021801,0.0
010500021802,0.0
010500021803,0.0
010500021901,0.0
010500021902,0.0
010500021903,0.0
010500021904,0.0
010500021905,0.0
010500021906,0.0
010500021907,0.0
010500021908,0.0
010500021909,0.0
010500030101,0.0
010500030102,0.0
010500030103,0.0
010500030104,0.0
010500030105,0.0
010500030106,0.0
010500030107,0.0
010500030201,0.0
010500030202,0.0
010500030203,0.0
010500030204,0.0
010500030205,0.0
010500030206,0.0
010500030301,0.0
010500030302,0.0
010500030303,0.0
010500030304,0.0
010500030305,0.0
010500030306,0.0
010500030307,0.0
010500030401,0.0
010500030402,0.0
010500030403,0.0
010500030404,0.0
010500030405,0.0
010500030406,0.0
010500030501,0.0
010500030502,0.0
010500030503,0.0
010500030504,0.0
010500030601,0.0
010500030602,0.0
010500030603,0.0
010500030604,0.0
010500030605,0.0
010500030606,0.0
010500040203,0.0
010500040204,0.0
010500040401,0.0
010500040402,0.0
010500040403,0.0
010500040404,0.0
010500040501,0.0
010500040502,0.0
010500040601,0.0
010500040602,0.0
010500040603,0.0
010500040604,0.0
010500040605,0.0
010500040606,0.0
010500040701,0.0
010500040702,0.0
010500040901,0.0
010500040902,0.0
010500040903,0.0
010500040904,0.0
010600010101,0.0
010600010102,0.0
010600010103,0.0
010600010104,0.0
010600010105,0.0
010600010106,0.0
010600010107,0.0
010600010108,0.0
010600010109,0.0
010600010110,0.0
010600010201,0.0
010600010202,0.0
010600010203,0.0
010600010204,0.0
010600010205,0.0
010600010206,0.0
010600010301,0.0
010600010302,0.0
010600010303,0.0
010600010304,0.0
010600010305,0.0
010600010306,0.0
010600010401,0.0
010600010402,0.0
010600010501,0.0
010600010502,0.0
010600010503,0.0
010600010504,0.0
010600010505,0.0
010600010506,0.0
010600010507,0.0
010600010601,0.0
010600010602,0.0
010600010603,0.0
010600010606,0.0
010600010607,0.0
010600020101,0.0
010600020102,0.0
010600020103,0.0
010600020104,0.0
010600020105,0.0
010600020106,0.0
010600020201,0.0
010600020202,0.0
010600020203,0.0
010600020204,0.0
010600020301,0.0
010600020302,0.0
010600020303,0.0
010600020304,0.0
010600020401,0.0
010600020402,0.0
010600020403,0.0
010600020404,0.0
010600020405,0.0
010600020406,0.0
010600020501,0.0
010600020502,0.0
010600020503,0.0
010600020504,0.0
010600020601,0.0
010600020602,0.0
010600020603,0.0
010600020604,0.0
010600020605,0.0
010600020701,0.0
010600020702,0.0
010600020703,0.0
010600020801,0.0
010600020802,0.0
010600020803,0.0
010600020804,0.0
010600020901,0.0
010600020902,0.0
010600020903,0.0
010600020904,0.0
010600021001,0.0
010600021002,0.0
010600021003,0.0
010600021004,0.0
010600021005,0.0
010600021006,0.0
010600021007,0.0
010600021101,0.0
010600021102,0.0
010600021103,0.0
010600021104,0.0
010600021105,0.0
010600021106,0.0
010600030101,0.0
010600030102,0.0
