HUC_12,R45Canopy
010100040503,67.9916581546
010100040504,64.5405405405
010100040505,61.8335829838
010100040506,59.2746546431
010100040601,63.2477224947
010100040602,67.7625354778
010100040603,63.3830977621
010100040604,66.3278341794
010100040605,61.8588379705
010100040606,59.2529382553
010100040701,72.5938200259
010100040702,69.545516536
010100040703,70.3550944892
010100040801,67.7797950746
010100040802,74.0506108202
010100040803,68.9533923304
010100040804,71.0573360776
010100040805,67.6274866909
010100040901,64.4590635848
010100040902,72.4179838426
010100040903,69.5817514755
010100040904,59.0041541039
010100040905,67.2402508029
010100040906,72.8501150748
010100040907,69.6677704194
010100040908,74.283575419
010100040909,65.8927310182
010100041001,57.7366104182
010100041002,68.3529576675
010100041003,67.8167976424
010100041004,66.8377483444
010100041005,68.6844393593
010100041006,62.9422138837
010100041007,58.795100909
010100041008,52.9507259129
010100041009,51.0490639122
010100041101,54.2532327586
010100041102,47.3780999618
010100041103,68.5248921991
010100041104,69.6957225746
010100041105,67.7573543189
010100041106,65.6616996164
010100041107,57.8079833029
010100041108,57.1494715652
010100041109,51.7053198887
010100041110,53.5733934076
010100041111,48.6992481203
010100041112,50.8874458874
010100041113,44.9123278076
010100050101,64.7138728324
010100050102,63.308484409
010100050201,69.7469046636
010100050202,59.5540994624
010100050203,68.8407295344
010100050301,67.8615384615
010100050302,65.7542081759
010100050303,63.8209735381
010100050304,64.4410529264
010100050305,66.7659414854
010100050306,59.3273026316
010100050307,52.436017114
010100050308,57.9658444023
010100060101,66.7092877968
010100060102,70.2417315175
010100060103,67.3248923778
010100060104,66.2791482184
010100060105,70.9291845494
010100060106,67.754676259
010100060107,70.329277865
010100060108,69.2336163727
010100060109,60.8849906191
010100060201,69.8896020539
010100060202,64.1119293078
010100060203,49.2655771195
010100060204,66.3553078042
010100060205,64.3997852541
010100060206,69.3717561859
010100060207,71.7624403545
010100060208,59.6729436845
010100060305,59.4391371341
010100060312,57.390438247
010100060313,59.1133848719
010100070101,65.6046079524
010100070102,62.9901164843
010100070103,60.7840311917
010100070204,77.4
010100070205,62.1234285714
010100070206,56.8081810961
010100070207,61.5792320173
010100070208,65.4709460877
010100070209,64.1313215982
010100070301,66.2990196078
010100070302,67.2404092072
010100070303,57.6486628212
010100070304,71.3809884014
010100070305,72.4127054642
010100070306,59.1523323615
010100070401,59.7740458015
010100070402,54.2044042914
010100070403,63.6438511327
010100070404,67.8587987355
010100070405,68.6027746319
010100070502,55.7608695652
010100070503,64.1826309068
010100070504,74.1477272727
010100070505,70.905511811
010100070506,67.8162214355
010100070507,71.5113867426
010100070601,76.8269230769
010100070602,73.0339976553
010100070603,72.7010500309
010100070604,72.4268696228
010100070605,70.6363205311
010100070606,58.2638383838
010100070607,70.4217987451
010100070701,73.3560448691
010100070702,70.5895810364
010100070703,71.8231318062
010100080101,74.0972521939
010100080102,72.7127761768
010100080401,61.0085714286
010100080403,68.9658810325
010100080404,73.1169560776
010100080405,51.6806495264
010100080406,71.9746675111
010100080407,68.0139794967
010100080408,60.1321100917
010100080503,64.9839158062
010100080504,57.115990991
010100081107,50.6860125261
010100081108,54.8442906574
010100090601,56.5249695493
010100090603,64.2697731453
010100090604,40.0052910053
010100090605,60.9139737991
010100090607,58.6000523149
010100090608,60.9235511714
010100100101,62.0960516325
010100100102,58.3898944193
010100100201,44.9867724868
010100100202,56.0230457227
010100100203,48.3851306095
010100100204,62.6385058912
010100100205,56.4544844929
010100100206,51.9611458676
010100100207,44.5916666667
010100110103,53.6993485342
010200010101,63.4276387378
010200010102,71.4366515837
010200010103,67.3208780943
010200010104,65.0994565217
010200010105,66.4824561404
010200010106,67.340664746
010200010201,68.7207829591
010200010202,59.6590524535
010200010203,69.547976012
010200010204,65.4502287083
010200010205,75.76849642
010200010206,72.9717486605
010200010207,58.1842176871
010200010208,75.330044843
010200010209,72.2095272206
010200010210,56.6615384615
010200010301,71.6092592593
010200010302,66.8468557337
010200010303,72.4500267237
010200010304,68.3227799228
010200010305,61.6867391304
010200010306,61.3075927524
010200010307,62.1576916894
010200010308,62.8315891473
010200010401,65.7342203472
010200010402,66.0104241553
010200010403,61.3690713432
010200010404,59.1866511447
010200010501,53.0929668553
010200010502,59.8317460317
010200010503,60.5624195624
010200010504,67.2141951838
010200010505,61.1481611825
010200010506,62.3819910515
010200010507,69.0795163063
010200010508,63.184316147
010200010509,57.9082191039
010200010601,70.5694444444
010200010602,71.1828468561
010200010701,65.3389705882
010200010702,68.7699488106
010200010703,71.6503222836
010200010704,73.9820521504
010200010801,71.3213149523
010200010802,68.9745308311
010200010803,76.3147208122
010200010804,73.8774566474
010200010805,57.0324174128
010200010901,76.228398314
010200010902,78.2887669651
010200010903,73.0723600102
010200010904,66.9766307848
010200010905,57.6995981831
010200010906,63.7575757576
010200010907,54.2544184135
010200011001,74.0281290323
010200011002,75.5682278216
010200011003,70.7367228794
010200011004,61.7534537726
010200011005,54.6991011236
010200011006,63.4057543342
010200011007,59.9976635514
010200020101,74.0012399256
010200020102,70.4404702351
010200020103,60.4442452492
010200020104,59.5037288136
010200020105,64.7145226964
010200020106,68.4847246127
010200020107,71.7965116279
010200020108,58.8652397939
010100060306,None
010100060307,None
010200020201,63.5419151175
010200020202,67.4649737303
010200020203,77.7347611203
010200020204,73.8917452633
010200020205,61.0172996351
010200020301,66.3765147144
010200020302,59.5414872237
010200020303,78.0999142367
010200020304,70.2097526832
010200020401,60.5177499571
010200020402,66.793258427
