HUC_12,HUC12_Pop
010200050504,446.515593881
010200050505,1424.85813531
010200050506,1361.15033403
010200050507,2704.59182047
010200050508,222.182270626
010200050509,936.45617579
010200050510,7144.89153164
010200050601,696.18944777
010200050602,2112.55734322
010200050603,15007.5908572
010200050701,783.170136826
010200050702,1129.80527207
010200050703,1498.00287532
010200050704,2108.79638405
010200050705,3180.72703551
010200050706,3135.57715807
010200050707,23242.3467023
010200050801,1851.24587159
010200050802,961.079872009
010200050803,1885.17838703
010200050804,3466.238847
010200050805,4396.23071255
010200050901,1276.90372845
010200050902,1025.03304056
010200050903,955.716063669
010200050904,1742.30795731
010200050905,819.131813636
010200050906,526.511709291
010200051001,2012.95101419
010200051002,1912.33345105
010200051003,26241.9260274
010200051004,1979.36449132
010200051005,586.429209717
010200051006,1160.56587271
010200051007,6886.92762785
010200051008,1903.22907894
010200051009,3875.66607484
010300010101,0.132772563808
010300010102,0.259787811639
010300010201,0.0
010300010202,0.0
010300010203,1.24028813257
010300010204,1.75972459815
010300010205,0.177963077143
010300010206,9.6734518322
010300010301,2.89067063507
010300010302,161.817420918
010300010303,354.161251484
010300010304,77.0276176105
010300010305,6.27758722845
010300010306,0.138189165351
010300010307,16.495882312
010300010308,4.57863876085
010300010309,575.087666942
010300010310,0.0169094135435
010300010401,0.166943180461
010300010402,1.09999791809
010300010403,0.0
010300010404,132.073560249
010300010501,0.183705293406
010300010502,0.169157414145
010300010503,10.9167164116
010300010504,0.0796378551677
010300010505,1.34831308953
010300010506,19.9996074104
010300010507,8.85927312358
010300010508,0.850327597142
010300010509,0.107145682796
010300010510,1754.63680363
010300010601,3.95634247603
010300010602,1.07213781592
010300010603,4.66098777537
010300010604,0.0
010300010605,2.5288899053
010300010606,0.0236045558122
010300010607,27.8676493334
010300010608,1.32772021616
010300010609,1.92417747129
010300010610,12.3924200955
010300020101,13.1594631076
010300020102,3.24144099327
010300020103,1.04341095602
010300020104,1.37214408072
010300020105,0.0
010300020106,74.1750588821
010300020201,1.74462692576
010300020202,64.272011372
010300020203,32.8604280288
010300020204,69.0126406238
010300020301,260.657180464
010300020302,1.26479789805
010300020303,488.538998084
010300020304,18.593048324
010300020401,0.083118881701
010300020402,0.0
010300020403,0.126535471501
010300020404,3.73797362739
010300020405,2.97359052493
010300020406,0.0
010300020501,1.63932725585
010300020502,5.08373774073
010300020503,2.13207677915
010300020504,3.35918301159
010300020505,6.39248654161
010300020506,52.0457060951
010300030101,19.2729774042
010300030102,0.700804827749
010300030103,40.3697639986
010300030104,0.4522489886
010300030105,71.8362764824
010300030106,98.977798229
010300030201,0.0
010300030202,3.53942205262
010300030203,511.478734147
010300030301,1059.80566486
010300030302,294.523553521
010300030303,146.537154883
010300030304,920.571854449
010300030401,511.043787692
010300030402,470.104930472
010300030501,10.365324077
010300030502,202.22589267
010300030503,564.460293703
010300030601,666.486080591
010300030602,624.542999742
010300030701,4.35896169919
010300030702,147.610726939
010300030703,342.945878486
010300030801,211.893480638
010300030802,185.098195098
010300030803,553.189274619
010300030804,681.825840921
010300030901,38.6295649126
010300030902,136.789673412
010300030903,133.869604858
010300030904,590.063703279
010300030905,859.116139407
010300031001,810.738808085
010300031002,848.647497506
010300031003,1161.90423671
010300031004,6374.5153205
010300031101,794.337692502
010300031102,1527.51804706
010300031103,4125.27659434
010300031201,443.299380413
010300031202,818.50766548
010300031203,352.028956976
010300031204,741.447183389
010300031205,276.691600612
010300031206,1989.76189815
010300031301,3906.06478855
010300031302,5923.2237373
010300031401,354.524773516
010300031402,197.122944111
010300031403,834.710323224
010300031404,2602.42787314
010300031405,1259.65023839
010300031501,3527.21471943
010300031502,927.07666964
010300031503,357.936302174
010300031504,425.064165239
010300031505,1697.35534421
010300031506,2616.0144048
010300031507,11761.9984619
010300031601,491.411414553
010300031602,819.366720636
010300031603,262.34114891
010300031604,919.024186795
010300031605,871.739103134
010300031606,876.368406174
010300031701,2238.30480527
010300031702,4026.93135924
010300031801,1121.03238423
010300031802,2616.32602338
010300031803,752.368999326
010300031804,665.327317976
010300031805,1086.31966438
010300031806,2517.91905558
010300031901,2108.34269312
010300031902,803.395654907
010300031903,2204.63392965
010300031904,2264.14093381
010300032001,393.063602954
010300032002,1745.3342777
010300032003,1307.23573498
010300032004,1655.78887579
010300032005,401.141359134
010300032101,2627.22176399
010300032102,1597.45484745
010300032103,1501.7824097
010300032104,2858.06461572
010300032105,2512.9533051
010300032106,6513.62754252
010300032201,1013.44512349
010300032202,2668.71296706
010300032203,1518.63887821
010300032204,4646.68108284
010300032205,14191.9172879
010300032301,3805.58266855
010300032302,1122.37603264
010300032303,5704.8790004
010300032304,1469.70384993
010300032305,2986.09425974
010300032306,2004.84786162
010300032307,1761.03397142
010300032308,2300.81816476
010300032309,5148.75473633
010300032401,1179.83848339
010300032402,1291.05516758
010300032403,1414.36163699
010300032404,12672.993378
010300032405,5802.06396956
010300032406,1036.66574634
010300032407,3064.9848815
010300032408,2601.11473148
010300032409,19235.8555227
010400010101,2.64049111613
010400010102,0.0
010400010103,0.869404723649
010400010104,3.34053351769
010400010105,56.3949195556
010400010106,7.09513976903
010400010107,1455.89080182
010400010108,0.381745506173
010400010109,192.464939196
010400010110,5.75554702348
010400010201,49.0789361738
010400010202,7.94387044973
010400010203,77.3939607342
010400010301,0.0
010400010302,0.0
010400010303,0.0
010400010304,1.33022945374
010400010305,4.46246146956
010400010306,46.1173977625
010400010401,0.0
010400010402,0.0
010400010403,15.4234324112
010400010404,1.30754713596
010400010405,0.0
010400010406,69.9861590706
010400010501,4.90668875165
010400010502,187.947368051
010400010601,56.6826717095
010400010602,56.363208351
010400010603,89.9992260352
010400010604,339.83420756
010400010605,120.981489849
010400010606,5720.30559243
010400010607,5230.33438821
010400020101,1320.42085104
010400020102,1329.85950979
010400020103,379.254294608
010400020201,34.1726351811
010400020202,235.170324027
010400020203,930.415038814
010400020204,1416.28251868
010400020205,172.646921063
010400020206,174.093453401
010400020207,898.491508779
010400020301,104.560562
010400020302,52.0533903308
010400020303,387.844361369
010400020304,291.553155227
010400020305,377.488127221
010400020401,537.71250387
010400020402,21.6175360173
010400020403,7.63010983884
010400020404,198.67271248
010400020405,2640.12538276
010400020406,5666.5589663
010400020501,449.885379803
010400020502,1548.60302167
010400020503,752.394178365
010400020504,914.233110558
010400020505,2374.51051462
010400020601,2056.72202667
010400020602,5668.3485762
010400020603,1043.18439064
010400020604,1194.89070944
010400020605,1332.49432844
010400020606,2007.98612078
010400020701,1539.6112988
010400020702,1356.54385025
010400020703,2823.21801387
010400020704,3620.92833938
010400020801,2192.52867213
010400020802,1478.38002375
010400020803,30558.0532811
010400020901,945.042061273
010400020902,2091.67498108
010400020903,1705.82835156
010400020904,7258.51434884
010400020905,2458.75706851
010400020906,1429.0850243
010400020907,2889.60064597
010400020908,4287.06240401
010400020909,2824.1326658
010400020910,13276.4275362
010400021001,3602.26255892
010400021002,13966.3890421
010400021003,2565.1501859
010400021004,1353.9632528
010400021005,19588.7283408
010400021006,5429.58449465
010400021007,16885.9352897
010500010101,114.611250304
010500010102,205.370571849
010500010207,47.8660874203
010500010301,0.273579830377
010500010302,0.0
010500010303,130.921457342
010500010304,0.0
010500010305,22.7759469946
010500010306,0.0
010500010307,97.2523390417
010500010401,22.3962035593
010500010402,59.381066218
010500010403,0.799169998661
010500010404,28.2878233755
010500010501,0.0585119747557
010500010502,3.22965855032
010500010503,0.0
010500010504,228.047663299
010500010505,3.44770512296
010500010506,15.0217625076
010500010601,10.909173437
010500010602,12.2990597804
010500010603,0.0872721211745
010500010604,177.733158389
010500010605,167.803143738
010500010606,1011.75991986
010500010701,69.3610822725
010500010702,102.567699976
010500010705,0.0
010500010706,0.0
010500010707,0.0
010500010708,0.0
010500010801,1090.43114763
010500010802,272.377423747
010500010804,329.354396032
010500010806,2500.64256451
010500010809,571.672044183
010500010810,576.609063803
010500020101,342.200402243
010500020102,226.154476178
010500020103,28.2184019339
010500020104,25.7818930096
010500020201,33.7342376526
010500020202,29.4408769704
010500020203,168.327242866
010500020204,231.69885137
010500020205,953.591791671
010500020301,0.0
010500020302,0.0
010500020401,0.0
010500020402,0.104366576196
010500020403,0.0
010500020501,1.60658357876
010500020502,148.317419416
010500020503,21.2445774774
010500020601,8.22447411178
010500020602,0.582183451
010500020603,673.9059688
