HUC_12,Terrestrial_Acres,Rare_Acres,Protected_Rare_Acres,Percent_of_HUC_Rare,Percent_Rare_Area_Protected
010200020503,11490,0.0,None,0.0,None
010200020504,20127,0.0,None,0.0,None
010200020505,19141,0.0,None,0.0,None
010200020506,9578,0.0,None,0.0,None
010200020507,38170,0.0,None,0.0,None
010200030101,15791,0.0,None,0.0,None
010200030102,9935,0.0,None,0.0,None
010200030103,13169,0.0,None,0.0,None
010200030104,15453,0.0,None,0.0,None
010200030105,19167,0.0,None,0.0,None
010200030106,14994,0.0,None,0.0,None
010200030107,38716,0.0,None,0.0,None
010200030108,18182,0.0,None,0.0,None
010200030109,24138,0.0,None,0.0,None
010200030110,16220,0.0,None,0.0,None
010200030111,10084,0.0,None,0.0,None
010200030112,21584,0.0,None,0.0,None
010200030113,13463,0.0,None,0.0,None
010200030201,27552,0.0,None,0.0,None
010200030202,16322,0.0,None,0.0,None
010200030203,2897,0.0,None,0.0,None
010200030204,18866,0.0,None,0.0,None
010200030205,38239,0.0,None,0.0,None
010200030301,30016,0.0,None,0.0,None
010200030302,10078,0.0,None,0.0,None
010200030303,24498,0.0,None,0.0,None
010200030401,71868,0.0,None,0.0,None
010200030402,32886,0.0,None,0.0,None
010200030403,17506,0.0,None,0.0,None
010200030404,16745,0.0,None,0.0,None
010200030501,13067,0.0,None,0.0,None
010200030502,25886,0.0,None,0.0,None
010200030503,31460,0.0,None,0.0,None
010200030504,8719,0.0,None,0.0,None
010200030505,9315,0.0,None,0.0,None
010200030506,8187,0.0,None,0.0,None
010200030507,7058,0.0,None,0.0,None
010200030508,13255,0.0,None,0.0,None
010200030509,12834,0.0,None,0.0,None
010200030510,10687,0.0,None,0.0,None
010200030511,34801,0.0,None,0.0,None
010200030601,13113,0.0,None,0.0,None
010200030602,13923,0.0,None,0.0,None
010200030603,22984,0.0,None,0.0,None
010200030604,21005,0.0,None,0.0,None
010200030605,9757,0.0,None,0.0,None
010200030606,26665,0.0,None,0.0,None
010200030607,39668,0.0,None,0.0,None
010200030701,4936,0.0,None,0.0,None
010200030702,21609,0.0,None,0.0,None
010200030703,26633,0.0,None,0.0,None
