HUC_12,Root_BMass_Tons
010200030603,52060.5127193
010200030604,52367.4984946
010200030605,26170.9389386
010200030606,60228.8197809
010200030607,85220.7126741
010200030701,14090.7776248
010200030702,50613.017644
010200030703,59960.427409
010200030704,62481.3211102
010200040101,31506.4894643
010200040102,24564.6950314
010200040103,55351.8190384
010200040104,27673.5111723
010200040105,37937.2268118
010200040106,28619.2458401
010200040107,51996.9747415
010200040108,21928.8365623
010200040109,35207.7398647
010200040110,57519.2642188
010200040111,61479.0474783
010200040201,40541.4643103
010200040202,55462.9714718
010200040203,50858.4548241
010200040204,68231.0490746
010200040205,72622.7523181
010200040301,56740.7407046
010200040302,54260.743264
010200040303,23705.070343
010200040304,33606.011033
010200040305,39889.6089903
010200040306,48594.4548881
010200040307,82304.6395439
010200040308,45201.4186888
010200040309,32559.304426
010200040310,36844.3919531
010200040311,93920.821263
010200040312,42806.6976298
010200040401,72442.5858318
010200040402,81959.3969361
010200040403,54227.9613942
010200040404,44513.2619529
010200040405,47803.7491441
010200040406,35072.2564669
010200040407,51948.1595924
010200040408,48251.2392481
010200040409,98262.9903852
010200040410,57731.9658221
010200040501,73895.4614083
010200040502,60969.0798354
010200040503,65281.5882992
010200040504,21636.6574517
010200040601,79412.2332922
010200040602,45794.3875942
010200040603,22386.5184778
010200040604,78536.7377858
010200050101,56680.8417838
010200050102,35649.1823555
010200050103,68521.2751187
010200050104,68228.0479331
010200050201,55451.935937
010200050202,26211.7712555
010200050203,33473.4211081
010200050204,69611.4612564
010200050205,45826.2419422
010200050206,62103.5897365
010200050207,60602.8180482
010200050208,55694.4308211
010200050301,35441.749784
010200050302,30380.4969707
010200050303,60297.2360231
010200050304,27722.5039333
010200050305,89679.8430273
010200050306,71828.8382106
010200050307,76535.6852659
010200050308,27489.0976768
010200050309,28451.951745
010200050310,59143.3644625
010200050311,62634.3138218
010200050401,41088.1092591
010200050402,81256.4971726
010200050403,32784.4944778
010200050404,36750.2000488
010200050405,63627.8452754
010200050406,36702.432206
010200050407,42685.6735812
010200050408,57227.4802879
010200050501,46595.3604655
010200050502,36176.9192738
010200050503,65508.4619933
010200050504,67506.2503676
010200050505,55947.9733384
010200050506,48829.4544518
010200050507,42950.3929317
010200050508,32211.1480211
010200050509,42969.0120258
010200050510,18990.8338671
010200050601,69131.0884767
010200050602,70925.8845986
010200050603,41774.7430105
010200050701,36767.9831098
010200050702,29128.6747023
010200050703,61171.9961271
010200050704,36809.1534713
010200050705,24750.6878769
010200050706,57706.7337152
010200050707,45972.4466372
010200050801,48486.4160184
010200050802,32305.5515793
010200050803,39325.4484863
010200050804,52803.9279005
010200050805,30385.9763339
010200050901,55133.6609744
010200050902,66644.1829701
010200050903,36254.8945715
010200050904,41113.360497
010200050905,33701.8919925
010200050906,16044.2135379
010200051001,27515.2212421
010200051002,29217.6793771
010200051003,30838.8679005
010200051004,55688.0558773
