HUC_12,P_NonBuff_Ag,P_Ag_Buffered,Avg_Buff_Width
010200040205,2.31149339676,79.204199339,263.154688614
010200040301,0.0,100.0,192.728682171
010200040302,0.00307907047682,99.5601173021,797.268328446
010200040303,0.00247739371844,98.0769230769,488.365384615
010200040304,0.0178103912622,98.1785063752,484.508196721
010200040305,0.0961666479707,96.5480616038,377.098247477
010200040306,0.00391251593828,99.4680851064,334.395390071
010200040307,0.00602959003299,96.2790697674,330.381395349
010200040308,0.0642508342862,92.8,535.2672
010200040309,0.00210739276372,99.8148148148,367.57037037
010200040310,0.0133680906147,99.2292870906,674.843930636
010200040311,0.156457185745,79.4090489381,322.56232687
010200040312,0.134367212653,95.0718685832,321.834702259
010200040401,0.000867498281877,94.1176470588,486.235294118
010200040402,0.00163093558513,97.8723404255,917.638297872
010200040403,0.010429023765,97.5975975976,496.747747748
010200040404,0.0,100.0,562.324175824
010200040405,0.0195357818156,98.0198019802,826.985148515
010200040406,0.0,100.0,931.272727273
010200040407,0.0,100.0,718.153846154
010200040408,0.0013046314707,99.7716894977,597.342465753
010200040409,0.0554062202573,89.9502487562,266.23880597
010200040410,0.495394319296,89.587628866,293.39628866
010200040501,0.0516463927925,94.2392909897,412.40915805
010200040502,0.0263684298843,94.9122807018,599.103508772
010200040503,0.0268168412149,95.5585464334,774.562584118
010200040504,0.00492890039459,99.595959596,445.062626263
010200040601,0.401266723871,83.6278299282,324.725842076
010200040602,0.171243160963,94.6762141968,434.279576588
010200040603,0.0621056295931,98.051441933,737.92751364
010200040604,0.297129094601,81.281618887,194.788785835
010200050101,0.255195647478,91.2053947738,372.163248103
010200050102,0.0168308950961,97.027027027,445.894594595
010200050103,0.00841609202325,98.2622432859,1110.48025276
010200050104,0.060260977596,94.6058091286,371.203319502
010200050201,0.549295544624,90.6498574216,191.018009905
010200050202,0.201868996024,95.9118052366,191.396417088
010200050203,0.00747238937765,99.5344506518,1205.59962756
010200050204,0.00870310328901,99.1396426208,752.566512244
010200050205,0.105331674218,96.1571675302,576.667530225
010200050206,0.00807587709278,96.9387755102,946.227891156
010200050207,0.0273464042693,94.7535771065,839.399046105
010200050208,0.378893852234,90.8511870295,376.642733063
010200050301,0.0213619042188,98.3268983269,908.814671815
010200050302,0.00201690173708,97.8723404255,1129.23404255
010200050303,0.0618061460555,90.2948402948,1098.34643735
010200050304,0.0,100.0,650.368421053
010200050305,0.0665311664343,88.9114954222,323.006103764
010200050306,0.105216212571,84.8393574297,913.700803213
010200050307,0.00215926766396,99.833518313,853.40954495
010200050308,0.0,100.0,822.62004662
010200050309,0.0128325773403,98.1873111782,1194.54984894
010200050310,0.073215149343,95.9100204499,517.851226994
010200050311,0.0744870007038,93.2948810382,946.521268926
010200050401,0.225545912981,86.8382352941,669.794852941
010200050402,0.0531415045261,94.7503201024,1176.18565941
010200050403,0.185481980443,72.6063829787,195.223404255
010200050404,0.0265291575342,94.0298507463,505.809701493
010200050405,0.0565810315311,95.8257713249,538.43738657
010200050406,0.181376621127,75.3653444676,650.181628392
010200050407,0.0879105404019,84.5995893224,948.414784394
010200050408,0.297351032495,83.6448598131,315.624299065
010200050501,0.428147852421,86.4345302865,209.195139645
010200050502,0.252481490374,91.1879049676,602.469114471
010200050503,0.811617016792,86.5870255557,285.639195524
010200050504,0.253469407558,88.9662756598,429.298020528
010200050505,2.22809743881,85.766699668,269.8488731
010200050506,2.01509428024,82.8767750802,265.289509849
010200050507,0.493737518787,81.206817135,369.673422386
010200050508,0.240569278598,87.4207188161,502.380549683
010200050509,0.0867568254471,96.1733258301,707.56443444
010200050510,2.18426370621,64.4895984519,45.7590711176
010200050601,0.123540334404,81.015719468,272.748488513
010200050602,0.220512419939,90.3505727178,235.028115238
010200050603,1.44569635391,78.6708365911,153.695074277
010200050701,7.93193674088,64.206028958,101.980714455
010200050702,4.34798622131,75.563598759,246.529058945
010200050703,4.39013242722,74.6886075949,196.382329114
010200050704,4.45960474014,67.6798768757,133.589457484
010200050705,3.29259347916,82.2428102683,249.607990735
010200050706,5.48769521713,67.7000919963,189.30873965
010200050707,2.26470327377,79.0398213621,332.93777447
010200050801,2.44195747375,72.6682408501,168.946280992
010200050802,2.26839804649,70.9493799553,159.584061801
010200050803,1.3580878973,84.5968541873,213.126257617
010200050804,2.34887099266,75.1458686241,262.660361378
010200050805,2.17058825493,81.4783879724,454.343077887
010200050901,1.46395230293,85.9607913994,204.398771343
010200050902,1.59788548946,80.755914599,182.576072322
010200050903,2.432710886,77.8038827748,180.862000742
010200050904,3.25384259224,67.5788288288,165.398536036
010200050905,0.580251276493,91.0875742702,340.9320589
010200050906,0.952347874641,87.8005342832,208.06856634
010200051001,1.84084951878,75.1337579618,348.807388535
010200051002,0.404276520014,94.046275395,250.342832957
010200051003,4.46267604828,63.2777421424,102.97779025
